date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 09:00:00+00:00,7.69,7.7,7.69,7.7,400.0,7.6975,3,False
2025-11-17 10:00:00+00:00,7.65,7.65,7.65,7.65,200.0,7.65,1,False
2025-11-17 11:00:00+00:00,7.65,7.65,7.65,7.65,0.0,7.65,0,False
2025-11-17 12:00:00+00:00,7.65,7.65,7.65,7.65,544.0,7.65,1,False
2025-11-17 13:00:00+00:00,7.6002,7.73,7.6001,7.71,6091.0,7.69187,7,False
2025-11-17 14:00:00+00:00,7.7,8.06,7.59,7.935,304500.0,7.81891,576,False
2025-11-17 15:00:00+00:00,7.95,7.97,7.715,7.73,198563.0,7.81073,635,True
2025-11-17 16:00:00+00:00,7.73,7.74,7.67,7.6912,135243.0,7.7029,547,True
2025-11-17 17:00:00+00:00,7.69,7.715,7.555,7.565,172716.0,7.6417,901,True
2025-11-17 18:00:00+00:00,7.56,7.63,7.55,7.55,80407.0,7.58297,586,True
2025-11-17 19:00:00+00:00,7.555,7.575,7.425,7.43,154201.0,7.50607,838,True
2025-11-17 20:00:00+00:00,7.43,7.52,7.43,7.501,297977.0,7.48164,1884,True
2025-11-17 21:00:00+00:00,7.51,7.65,7.51,7.65,158528.0,7.51013,7,False
2025-11-17 22:00:00+00:00,7.65,7.65,7.65,7.65,0.0,7.65,0,False
2025-11-17 23:00:00+00:00,7.65,7.65,7.65,7.65,0.0,7.65,0,False
2025-11-18 00:00:00+00:00,7.65,7.65,7.65,7.65,0.0,7.65,0,False
2025-11-18 12:00:00+00:00,7.55,7.55,7.55,7.55,100.0,7.55,1,False
2025-11-18 13:00:00+00:00,7.49,7.5,7.49,7.5,780.0,7.49744,2,False
2025-11-18 14:00:00+00:00,7.5,7.5,7.1,7.4324,93929.0,7.39876,422,False
2025-11-18 15:00:00+00:00,7.45,7.54,7.38,7.48,102405.0,7.46122,663,True
2025-11-18 16:00:00+00:00,7.4835,7.57,7.4335,7.54,113031.0,7.52617,657,True
2025-11-18 17:00:00+00:00,7.54,7.64,7.475,7.635,76964.0,7.53983,541,True
2025-11-18 18:00:00+00:00,7.64,7.71,7.61,7.62,104643.0,7.66102,626,True
2025-11-18 19:00:00+00:00,7.63,7.66,7.61,7.65,70598.0,7.63045,506,True
2025-11-18 20:00:00+00:00,7.66,7.68,7.63,7.68,292016.0,7.65896,1803,True
2025-11-18 21:00:00+00:00,7.67,7.67,7.6362,7.6362,183562.0,7.66995,7,False
2025-11-18 22:00:00+00:00,7.68,7.68,7.68,7.68,130.0,7.68,1,False
2025-11-18 23:00:00+00:00,7.68,7.68,7.68,7.68,400.0,7.68,1,False
2025-11-19 00:00:00+00:00,7.68,7.68,7.5198,7.68,1600.0,7.62994,3,False
2025-11-19 12:00:00+00:00,7.65,7.65,7.65,7.65,100.0,7.65,1,False
2025-11-19 13:00:00+00:00,7.68,7.68,7.53,7.6612,1981.0,7.6317,4,False
2025-11-19 14:00:00+00:00,7.57,7.7,7.439,7.65,111295.0,7.59375,390,False
2025-11-19 15:00:00+00:00,7.64,7.81,7.625,7.76,85708.0,7.71334,365,True
2025-11-19 16:00:00+00:00,7.75,7.79,7.5902,7.6,73717.0,7.69682,391,True
2025-11-19 17:00:00+00:00,7.6,7.64,7.56,7.63,72212.0,7.60684,455,True
2025-11-19 18:00:00+00:00,7.64,7.69,7.59,7.64,68909.0,7.65656,379,True
2025-11-19 19:00:00+00:00,7.64,7.64,7.57,7.6,62885.0,7.60184,432,True
2025-11-19 20:00:00+00:00,7.595,7.635,7.48,7.48,444313.0,7.53234,2104,True
2025-11-19 21:00:00+00:00,7.48,7.49,7.48,7.49,337942.0,7.48,7,False
2025-11-19 22:00:00+00:00,7.49,7.49,7.49,7.49,0.0,7.49,0,False
2025-11-19 23:00:00+00:00,7.4814,8.0,7.4814,7.77,1100.0,7.64907,4,False
2025-11-20 00:00:00+00:00,7.77,7.77,7.77,7.77,0.0,7.77,0,False
2025-11-20 12:00:00+00:00,7.63,7.63,7.63,7.63,200.0,7.63,2,False
2025-11-20 13:00:00+00:00,7.55,7.64,7.55,7.64,235.0,7.5883,2,False
2025-11-20 14:00:00+00:00,7.64,7.88,7.6,7.82,95760.0,7.75991,322,False
2025-11-20 15:00:00+00:00,7.848,7.885,7.73,7.8,141425.0,7.82102,662,True
2025-11-20 16:00:00+00:00,7.805,7.81,7.555,7.57,138289.0,7.71092,793,True
2025-11-20 17:00:00+00:00,7.57,7.615,7.385,7.435,302546.0,7.50872,2143,True
2025-11-20 18:00:00+00:00,7.43,7.535,7.33,7.355,242931.0,7.42812,1445,True
2025-11-20 19:00:00+00:00,7.36,7.435,7.31,7.435,180908.0,7.35021,995,True
2025-11-20 20:00:00+00:00,7.435,7.44,7.14,7.16,547124.0,7.19959,2869,True
2025-11-20 21:00:00+00:00,7.17,7.18,7.1117,7.1575,334136.0,7.16989,12,False
2025-11-20 22:00:00+00:00,7.17,7.2,7.17,7.2,500.0,7.194,3,False
2025-11-20 23:00:00+00:00,7.12,7.13,7.12,7.12,2697.0,7.12867,5,False
2025-11-21 00:00:00+00:00,7.12,7.12,7.12,7.12,0.0,7.12,0,False
2025-11-21 09:00:00+00:00,7.24,7.24,7.24,7.24,1500.0,7.24,2,False
2025-11-21 10:00:00+00:00,7.24,7.24,7.24,7.24,0.0,7.24,0,False
2025-11-21 11:00:00+00:00,7.12,7.12,7.12,7.12,1000.0,7.12,2,False
2025-11-21 12:00:00+00:00,7.19,7.19,7.19,7.19,259.0,7.19,1,False
2025-11-21 13:00:00+00:00,7.6809,7.6809,7.22,7.22,775.0,7.40615,3,False
2025-11-21 14:00:00+00:00,7.7526,7.7526,7.11,7.155,144770.0,7.16785,278,False
2025-11-21 15:00:00+00:00,7.16,7.25,7.05,7.125,132267.0,7.15457,824,True
2025-11-21 16:00:00+00:00,7.13,7.4,7.0701,7.39,107198.0,7.25501,710,True
2025-11-21 17:00:00+00:00,7.39,7.43,7.32,7.37,76671.0,7.37924,390,True
2025-11-21 18:00:00+00:00,7.38,7.43,7.33,7.365,64088.0,7.37377,406,True
2025-11-21 19:00:00+00:00,7.37,7.45,7.37,7.425,53855.0,7.41958,423,True
2025-11-21 20:00:00+00:00,7.43,7.475,7.39,7.415,247052.0,7.43304,1461,True
2025-11-21 21:00:00+00:00,7.42,7.42,7.42,7.42,205331.0,7.42,3,False
2025-11-21 22:00:00+00:00,7.42,7.42,7.42,7.42,0.0,7.42,0,False
2025-11-21 23:00:00+00:00,7.42,7.42,7.42,7.42,0.0,7.42,0,False
2025-11-22 00:00:00+00:00,7.42,7.42,7.42,7.42,0.0,7.42,0,False
2025-11-24 13:00:00+00:00,7.42,7.55,7.42,7.55,1327.0,7.47182,2,False
2025-11-24 14:00:00+00:00,7.31,7.53,7.25,7.42,92530.0,7.38541,268,False
2025-11-24 15:00:00+00:00,7.45,7.6,7.43,7.5895,222734.0,7.53191,615,True
2025-11-24 16:00:00+00:00,7.6,7.67,7.585,7.645,79547.0,7.62617,388,True
2025-11-24 17:00:00+00:00,7.65,7.74,7.6242,7.73,50113.0,7.67999,287,True
2025-11-24 18:00:00+00:00,7.73,7.74,7.655,7.71,34277.0,7.68992,219,True
2025-11-24 19:00:00+00:00,7.715,7.77,7.63,7.655,76797.0,7.70903,533,True
2025-11-24 20:00:00+00:00,7.66,7.715,7.64,7.67,348282.0,7.68656,1879,True
2025-11-24 21:00:00+00:00,7.67,7.75,7.67,7.75,2084201.0,7.67001,10,False
2025-11-24 22:00:00+00:00,7.8275,7.8275,7.8275,7.8275,100.0,7.8275,1,False
2025-11-24 23:00:00+00:00,7.8275,7.8275,7.8275,7.8275,0.0,7.8275,0,False
2025-11-25 00:00:00+00:00,7.81,7.81,7.81,7.81,425.0,7.81,1,False
2025-11-25 14:00:00+00:00,7.62,7.68,7.2,7.33,314148.0,7.3743,570,False
2025-11-25 15:00:00+00:00,7.33,7.36,7.191,7.225,177811.0,7.2591,739,True
2025-11-25 16:00:00+00:00,7.225,7.225,7.14,7.2153,118576.0,7.17683,639,True
2025-11-25 17:00:00+00:00,7.22,7.33,7.22,7.3042,85312.0,7.2856,395,True
2025-11-25 18:00:00+00:00,7.305,7.39,7.3,7.375,74732.0,7.3556,341,True
2025-11-25 19:00:00+00:00,7.375,7.445,7.365,7.42,64003.0,7.40632,366,True
2025-11-25 20:00:00+00:00,7.43,7.5,7.425,7.5,209187.0,7.46239,944,True
2025-11-25 21:00:00+00:00,7.5,7.5,7.5,7.5,162315.0,7.5,9,False
2025-11-25 22:00:00+00:00,7.5,7.5,7.5,7.5,0.0,7.5,0,False
2025-11-25 23:00:00+00:00,7.5,7.5,7.5,7.5,0.0,7.5,0,False
2025-11-26 00:00:00+00:00,7.5,7.5,7.5,7.5,0.0,7.5,0,False
2025-11-26 10:00:00+00:00,7.58,7.58,7.58,7.58,200.0,7.58,1,False
2025-11-26 11:00:00+00:00,7.58,7.58,7.58,7.58,0.0,7.58,0,False
2025-11-26 12:00:00+00:00,7.58,7.58,7.58,7.58,0.0,7.58,0,False
2025-11-26 13:00:00+00:00,7.52,7.52,7.52,7.52,1500.0,7.52,1,False
2025-11-26 14:00:00+00:00,7.51,7.63,7.46,7.49,78955.0,7.51826,261,False
2025-11-26 15:00:00+00:00,7.505,7.59,7.5,7.59,32181.0,7.54782,214,True
2025-11-26 16:00:00+00:00,7.595,7.595,7.53,7.58,39020.0,7.5621,261,True
2025-11-26 17:00:00+00:00,7.59,7.59,7.535,7.55,37438.0,7.55749,207,True
2025-11-26 18:00:00+00:00,7.56,7.63,7.552,7.63,61182.0,7.60852,282,True
2025-11-26 19:00:00+00:00,7.625,7.77,7.62,7.6891,152409.0,7.70467,682,True
2025-11-26 20:00:00+00:00,7.69,7.87,7.69,7.83,609703.0,7.79859,2257,True
2025-11-26 21:00:00+00:00,7.82,7.8799,7.82,7.8799,262197.0,7.82019,7,False
2025-11-26 22:00:00+00:00,7.8799,7.8799,7.8799,7.8799,0.0,7.8799,0,False
2025-11-26 23:00:00+00:00,7.8799,7.8799,7.8799,7.8799,0.0,7.8799,0,False
2025-11-27 00:00:00+00:00,7.73,7.82,7.73,7.82,2140.0,7.81318,4,False
2025-11-28 09:00:00+00:00,7.84,7.84,7.84,7.84,100.0,7.84,1,False
2025-11-28 10:00:00+00:00,7.84,7.84,7.84,7.84,0.0,7.84,0,False
2025-11-28 11:00:00+00:00,7.84,7.84,7.84,7.84,0.0,7.84,0,False
2025-11-28 12:00:00+00:00,7.84,7.84,7.84,7.84,0.0,7.84,0,False
2025-11-28 13:00:00+00:00,7.84,7.84,7.84,7.84,0.0,7.84,0,False
2025-11-28 14:00:00+00:00,7.8583,7.97,7.75,7.85,93053.0,7.90249,363,False
2025-11-28 15:00:00+00:00,7.8482,7.89,7.77,7.77,79166.0,7.83111,423,True
2025-11-28 16:00:00+00:00,7.78,7.87,7.755,7.84,145205.0,7.82564,731,True
2025-11-28 17:00:00+00:00,7.85,7.86,7.71,7.775,225091.0,7.78376,1255,True
2025-11-28 18:00:00+00:00,7.83,7.83,7.76,7.76,169198.0,7.77004,6,True
2025-11-28 19:00:00+00:00,7.77,7.77,7.7699,7.7699,350.0,7.76997,2,True
2025-11-28 20:00:00+00:00,7.7699,7.7699,7.7699,7.7699,0.0,7.7699,0,True
2025-11-28 21:00:00+00:00,7.76,7.77,7.76,7.77,3218.0,7.76938,4,False
2025-12-01 12:00:00+00:00,7.76,7.76,7.74,7.74,235.0,7.75149,2,False
2025-12-01 13:00:00+00:00,7.76,7.76,7.76,7.76,130.0,7.76,1,False
2025-12-01 14:00:00+00:00,7.75,8.1,7.67,8.0055,264614.0,7.96055,514,False
2025-12-01 15:00:00+00:00,8.015,8.0396,7.79,7.8,138220.0,7.90249,572,True
2025-12-01 16:00:00+00:00,7.8,7.8,7.72,7.745,72392.0,7.75693,352,True
2025-12-01 17:00:00+00:00,7.75,7.775,7.725,7.765,48502.0,7.74693,341,True
2025-12-01 18:00:00+00:00,7.77,7.805,7.73,7.78,69071.0,7.77136,363,True
2025-12-01 19:00:00+00:00,7.77,7.7707,7.65,7.66,76374.0,7.6874,357,True
2025-12-01 20:00:00+00:00,7.67,7.72,7.66,7.72,164454.0,7.69494,1104,True
2025-12-01 21:00:00+00:00,7.71,7.71,7.71,7.71,160241.0,7.71,10,False
2025-12-01 22:00:00+00:00,7.71,7.71,7.71,7.71,0.0,7.71,0,False
2025-12-01 23:00:00+00:00,7.71,7.71,7.71,7.71,0.0,7.71,0,False
2025-12-02 00:00:00+00:00,7.71,7.71,7.71,7.71,0.0,7.71,0,False
2025-12-02 13:00:00+00:00,7.8,7.8,7.8,7.8,160.0,7.8,1,False
2025-12-02 14:00:00+00:00,7.73,7.84,7.68,7.735,76230.0,7.76085,233,False
2025-12-02 15:00:00+00:00,7.73,7.7789,7.62,7.7,100736.0,7.70494,513,True
2025-12-02 16:00:00+00:00,7.69,7.72,7.6621,7.69,48213.0,7.69666,279,True
2025-12-02 17:00:00+00:00,7.695,7.83,7.685,7.79,121492.0,7.77681,446,True
2025-12-02 18:00:00+00:00,7.79,7.88,7.79,7.87,99189.0,7.83517,554,True
2025-12-02 19:00:00+00:00,7.87,7.92,7.84,7.87,91476.0,7.8806,603,True
2025-12-02 20:00:00+00:00,7.88,7.945,7.83,7.83,237473.0,7.88655,1360,True
2025-12-02 21:00:00+00:00,7.83,7.8316,7.83,7.83,171743.0,7.83005,6,False
