date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,82.5,93.2,80.8,89.5,243808.8,88.9869,7640,False
2016-06-30 00:00:00+00:00,89.5,97.5,73.7,81.7,504473.9,84.9492,18871,False
2016-07-29 00:00:00+00:00,80.4,84.1,72.1,73.1,398431.4,79.2085,13926,False
2016-08-31 00:00:00+00:00,73.0,75.8,56.5,59.9,777778.0,66.1998,30532,False
2016-09-30 00:00:00+00:00,60.5,61.1,49.9,53.0,532441.0,53.9929,19823,False
2016-10-31 00:00:00+00:00,53.0,57.4,44.0,45.6,741127.4,50.2363,22543,False
2016-11-30 00:00:00+00:00,45.2,52.9,40.5,49.5,603519.0,46.3938,17726,False
2016-12-30 00:00:00+00:00,49.5,63.7,48.4,60.1,919875.4,56.5876,32951,False
2017-01-31 00:00:00+00:00,60.8,69.5,60.7,63.5,624542.7,64.7865,22446,False
2017-02-28 00:00:00+00:00,63.0,66.4,50.7,51.9,1304161.2,59.441,30749,False
2017-03-31 00:00:00+00:00,51.5,53.2,43.0,46.5,999685.2,48.1452,32466,False
2017-04-28 00:00:00+00:00,46.4,50.8,45.0,49.1,484301.0,47.5574,20372,False
2017-05-31 00:00:00+00:00,48.8,49.6,37.9,38.3,673501.9,46.0259,25663,False
2017-06-30 00:00:00+00:00,38.2,42.3,33.8,34.9,1051259.5,38.0982,20632,False
2017-07-31 00:00:00+00:00,35.0,40.8,34.1,36.3,401181.7,36.937,13628,False
2017-08-31 00:00:00+00:00,36.3,36.6,25.8,26.1,562311.7,29.9967,14766,False
2017-09-29 00:00:00+00:00,26.2,37.5,26.1,32.3,499528.4,32.4748,15558,False
2017-10-31 00:00:00+00:00,32.0,38.0,29.4,35.6,514817.5,32.6399,15352,False
2017-11-30 00:00:00+00:00,33.9,36.5,29.9,32.5,366268.5,32.7095,11032,False
2017-12-29 00:00:00+00:00,32.7,40.1,30.0,32.8,1344397.5,34.396,25800,False
2018-01-31 00:00:00+00:00,33.0,42.0,32.8,33.0,1551517.7,37.8631,60210,False
2018-02-28 00:00:00+00:00,32.9,36.5,28.3,34.5,814338.1,31.6476,27210,False
2018-03-29 00:00:00+00:00,34.2,38.5,31.7,32.5,484054.6,36.0074,24318,False
2018-04-30 00:00:00+00:00,32.3,33.5,28.3,28.4,300727.0,30.6739,11309,False
2018-05-31 00:00:00+00:00,28.3,32.4,27.6,29.3,571425.4,29.7237,23311,False
2018-06-29 00:00:00+00:00,29.5,33.9,27.0,33.0,1215024.8,29.3066,55344,False
2018-07-31 00:00:00+00:00,33.1,40.0,31.9,33.9,1015598.3,36.4307,38729,False
2018-08-31 00:00:00+00:00,33.6,39.0,33.0,38.9,333646.3,35.7773,15018,False
2018-09-28 00:00:00+00:00,38.7,38.9,35.5,38.1,355295.2,37.4263,14643,False
2018-10-31 00:00:00+00:00,38.5,43.5,36.3,40.4,592083.5,40.1905,24664,False
2018-11-30 00:00:00+00:00,40.5,43.0,36.2,37.2,284340.2,39.3018,14498,False
2018-12-31 00:00:00+00:00,37.5,39.3,31.0,34.0,487374.6,34.031,23864,False
2019-01-31 00:00:00+00:00,33.5,39.2,32.5,36.0,301429.8,36.7495,12751,False
2019-02-28 00:00:00+00:00,36.2,41.9,32.3,40.1,426312.3,38.1053,16877,False
2019-03-29 00:00:00+00:00,39.3,43.5,38.5,39.6,316495.5,40.6536,14304,False
2019-04-30 00:00:00+00:00,39.6,39.8,34.3,36.6,287573.7,36.9174,12011,False
2019-05-31 00:00:00+00:00,36.9,39.2,35.0,36.6,183750.7,36.868,6614,False
2019-06-28 00:00:00+00:00,37.0,40.9,34.1,40.9,148834.0,36.2558,6805,False
2019-07-31 00:00:00+00:00,40.0,41.3,35.3,40.4,201511.0,39.0128,6313,False
2019-08-30 00:00:00+00:00,40.1,40.4,35.0,35.3,165185.6,37.6628,6036,False
2019-09-30 00:00:00+00:00,35.2,39.8,34.5,38.8,176717.9,37.2788,4672,False
2019-10-31 00:00:00+00:00,38.8,39.0,32.6,33.0,185538.1,35.5044,4729,False
2019-11-29 00:00:00+00:00,33.1,33.7,26.5,28.5,273912.9,29.9431,5934,False
2019-12-31 00:00:00+00:00,28.2,31.2,27.3,31.0,268888.1,29.2954,6761,False
2020-01-31 00:00:00+00:00,31.5,31.5,26.3,26.4,254214.6,28.9318,6227,False
2020-02-28 00:00:00+00:00,26.3,27.9,19.0,19.0,309071.9,24.8434,9019,False
2020-03-31 00:00:00+00:00,20.2,20.9,7.2,10.3,684232.7,11.7728,14362,False
2020-04-30 00:00:00+00:00,9.1,10.7,8.399,9.8,322542.3,9.4114,6405,False
2020-05-29 00:00:00+00:00,9.65,10.0,7.899,9.131,391426.2,8.7905,7206,False
2020-06-30 00:00:00+00:00,9.2,13.9,8.359,8.5,477777.0,10.731,12256,False
2020-07-31 00:00:00+00:00,9.1,10.6,8.0,10.0,326084.0,9.2075,10275,False
2020-08-31 00:00:00+00:00,9.9,11.5,8.601,9.199,447671.9,9.7031,9099,False
2020-09-30 00:00:00+00:00,9.287,9.287,7.601,8.679,213412.7,8.3773,3802,False
2020-10-30 00:00:00+00:00,8.6,8.6,6.344,6.5,252085.3,7.5981,4873,False
2020-11-30 00:00:00+00:00,6.9,9.45,5.749,9.02,1309740.0,8.118399825537892,20359,False
2020-12-31 00:00:00+00:00,9.0,16.53,8.91,16.02,1562287.0,12.819,8740,False
2021-01-29 00:00:00+00:00,16.28,18.74,14.7,15.66,468266.0,16.532,2477,False
2021-02-26 00:00:00+00:00,15.75,28.04,15.75,25.88,704546.0,22.761,3966,False
2021-03-31 00:00:00+00:00,26.15,40.88,23.12,40.35,1368805.0,34.288,6766,False
2021-04-30 00:00:00+00:00,40.88,62.99,40.85,56.01,1180628.0,49.291,6205,False
2021-05-28 00:00:00+00:00,56.51,66.6,47.5,59.49,993617.0,58.23,5412,False
2021-06-30 00:00:00+00:00,60.25,68.8,58.0,61.93,709944.0,62.693,3781,False
2021-07-30 00:00:00+00:00,63.47,67.68,53.2,64.51,542787.0,61.324,3173,False
2021-08-31 00:00:00+00:00,65.72,69.0,51.0,57.39,915200.0,57.801,4761,False
2021-09-30 00:00:00+00:00,57.28,71.52,57.14,69.7,423890.0,64.935,2501,False
2021-10-29 00:00:00+00:00,70.38,87.2,69.8,79.09,824595.0,80.217,4688,False
2021-11-30 00:00:00+00:00,79.85,85.17,75.07,77.05,843101.0,79.066,5282,False
2021-12-31 00:00:00+00:00,76.87,87.34,74.56,82.69,606041.0,79.024,3828,False
2022-01-31 00:00:00+00:00,84.61,110.77,82.75,101.94,1371309.0,94.702,8695,False
2022-02-28 00:00:00+00:00,102.5,110.55,97.1,107.69,1436063.0,102.837,9703,False
2022-03-31 00:00:00+00:00,110.95,150.29,101.27,137.97,4286070.0,117.128,26483,False
2022-04-29 00:00:00+00:00,136.34,179.74,132.28,149.46,1869799.0,152.819,10106,False
2022-05-31 00:00:00+00:00,150.0,162.7,124.23,129.7,1566184.0,139.079,8607,False
2022-06-30 00:00:00+00:00,129.56,129.56,99.27,99.85,1550128.0,114.561,9030,False
2022-07-29 00:00:00+00:00,100.0,111.0,80.3,109.41,1168965.0,94.329,6835,False
2022-08-31 00:00:00+00:00,110.64,139.99,107.0,124.23,1854646.0,122.627,10588,False
2022-09-30 00:00:00+00:00,122.71,137.0,102.39,114.43,1115394.0,122.178,6249,False
2022-10-31 00:00:00+00:00,119.53,133.0,116.0,121.0,1069045.0,124.862,5965,False
2022-11-30 00:00:00+00:00,113.0,128.58,110.5,128.4,1202918.0,119.085,6568,False
2022-12-30 00:00:00+00:00,129.0,129.0,95.7,100.58,1259802.0,107.106,6586,False
2023-01-31 00:00:00+00:00,102.2,106.6,97.89,99.13,699199.0,102.182,3671,False
2023-02-28 00:00:00+00:00,99.0,113.6,89.5,113.59,1423746.0,100.841,7524,False
2023-03-31 00:00:00+00:00,113.78,118.38,81.11,89.17,1861414.0,96.5,9353,False
2023-04-28 00:00:00+00:00,90.2,95.28,85.16,89.71,492752.0,90.41,2908,False
2023-05-31 00:00:00+00:00,89.5,104.86,80.48,81.68,1594429.0,92.964,8825,False
2023-06-30 00:00:00+00:00,82.11,87.25,77.76,80.68,924053.0,82.335,5128,False
2023-07-31 00:00:00+00:00,82.0,94.38,80.51,93.16,1083742.0,89.0,6064,False
2023-08-31 00:00:00+00:00,87.53,91.82,72.21,74.81,1635197.0,83.496,8000,False
2023-09-29 00:00:00+00:00,74.93,83.83,74.93,82.61,390980.0,80.236,2284,False
2023-10-31 00:00:00+00:00,81.82,84.62,73.19,78.83,508686.0,80.443,2684,False
2023-11-30 00:00:00+00:00,79.21,81.55,66.32,68.12,899914.0,73.73,4450,False
2023-12-29 00:00:00+00:00,68.25,73.56,60.5,65.5,940781.0,66.713,4462,False
2024-01-31 00:00:00+00:00,65.16,72.5,65.16,71.81,419953.0,68.632,2074,False
2024-02-29 00:00:00+00:00,72.35,75.73,66.05,68.19,585246.0,70.81,2691,False
2024-03-28 00:00:00+00:00,66.74,79.96,61.62,78.59,849976.0,70.372,4192,False
2024-04-30 00:00:00+00:00,78.75,83.77,74.95,80.6,442577.0,79.163,2323,False
2024-05-31 00:00:00+00:00,80.29,88.94,77.21,81.79,666330.0,82.351,3339,False
2024-06-28 00:00:00+00:00,82.02,82.13,73.3,75.66,306337.0,77.644,1508,False
2024-07-31 00:00:00+00:00,75.11,80.7,74.0,78.35,298757.0,77.903,1367,False
2024-08-30 00:00:00+00:00,78.4,79.03,68.57,70.24,488659.0,72.094,2309,False
2024-09-30 00:00:00+00:00,69.56,71.49,64.5,67.13,299672.0,67.585,1547,False
2024-10-31 00:00:00+00:00,67.06,74.99,62.94,66.18,535171.0,68.75,2487,False
2024-11-29 00:00:00+00:00,65.68,83.44,65.14,81.6,605731.0,72.363,2796,False
2024-12-31 00:00:00+00:00,80.0,82.9,73.21,75.96,441494.0,77.457,2317,False
2025-01-31 00:00:00+00:00,76.48,84.96,74.21,81.5,474739.0,80.071,2661,False
2025-02-28 00:00:00+00:00,80.63,82.78,75.35,77.79,328125.0,79.257,1713,False
2025-03-31 00:00:00+00:00,76.12,79.0,70.44,75.17,268703.0,74.903,1435,False
2025-04-30 00:00:00+00:00,75.52,81.32,63.45,79.8,529206.0,71.553,2683,False
2025-05-30 00:00:00+00:00,81.08,84.85,80.56,82.75,138092.0,82.879,712,False
2025-06-30 00:00:00+00:00,82.75,93.73,81.18,88.84,253858.0,87.288,1395,False
2025-07-31 00:00:00+00:00,88.42,96.87,86.23,94.73,266317.0,90.086,1453,False
2025-08-29 00:00:00+00:00,94.16,98.99,88.5,89.73,345735.0,93.871,1709,False
2025-09-30 00:00:00+00:00,90.05,93.22,84.13,90.12,250798.0,89.428,1291,False
2025-10-31 00:00:00+00:00,90.0,96.0,89.2,94.69,277727.0,92.885,1421,False
2025-11-28 00:00:00+00:00,96.25,100.89,94.0,96.56,554916.0,98.095,2504,False
2025-12-31 00:00:00+00:00,97.0,104.2,93.43,102.5,263321.0,96.546,1309,False
2026-01-30 00:00:00+00:00,101.76,119.9,99.0,103.57,449452.0,109.371,2236,False
2026-02-27 00:00:00+00:00,102.7,112.4,96.0,99.56,417484.0,103.109,2090,False
2026-03-31 00:00:00+00:00,101.3,139.5,101.3,126.67,1480100.0,127.638,8417,False
2026-04-30 00:00:00+00:00,124.65,139.26,117.06,128.81,864001.0,126.878,5251,False
2026-05-15 00:00:00+00:00,129.0,136.0,122.1,129.5,403092.0,129.389,2069,False
