date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,5.13,6.07,5.02,5.7,762404.0,5.588,4242,False
2016-06-30 00:00:00+00:00,5.63,6.07,5.4,5.69,1336412.0,5.736,7887,False
2016-07-29 00:00:00+00:00,5.68,6.6,5.4,6.39,2234352.0,6.012,11589,False
2016-08-31 00:00:00+00:00,6.33,7.5,5.94,7.27,1832527.0,6.681,8858,False
2016-09-30 00:00:00+00:00,7.26,7.48,6.58,7.41,1222111.0,7.046,6801,False
2016-10-31 00:00:00+00:00,7.32,8.71,7.32,8.5,5764429.0,7.969,24126,False
2016-11-30 00:00:00+00:00,8.5,10.56,8.39,10.04,10640536.0,9.472,50541,False
2016-12-30 00:00:00+00:00,10.09,10.65,9.25,9.7,5464952.0,9.975,31455,False
2017-01-31 00:00:00+00:00,9.7,12.75,9.42,12.53,8475960.0,11.835,45275,False
2017-02-28 00:00:00+00:00,12.54,14.95,11.86,13.85,10337961.0,13.41,52652,False
2017-03-31 00:00:00+00:00,13.87,16.99,13.27,16.87,12733902.0,14.961,63058,False
2017-04-28 00:00:00+00:00,16.94,20.2,14.93,19.24,13155553.0,17.217,66395,False
2017-05-31 00:00:00+00:00,19.66,24.15,19.3,22.84,18346119.0,21.707,95081,False
2017-06-30 00:00:00+00:00,22.98,26.21,18.11,18.75,20257499.0,21.664,106073,False
2017-07-31 00:00:00+00:00,18.77,26.2,18.41,23.45,16027938.0,22.955,86963,False
2017-08-31 00:00:00+00:00,23.48,24.71,20.64,23.07,19019141.0,22.391,93043,False
2017-09-29 00:00:00+00:00,23.02,30.92,21.95,30.62,24070892.0,26.629,115925,False
2017-10-31 00:00:00+00:00,31.18,34.59,23.19,25.52,30947539.0,29.361,154662,False
2017-11-30 00:00:00+00:00,25.7,26.48,20.68,20.98,21638388.0,23.928,122051,False
2017-12-29 00:00:00+00:00,20.89,24.19,18.86,23.09,18977767.0,21.679,106955,False
2018-01-31 00:00:00+00:00,23.21,27.2,20.34,21.69,28330543.0,23.802,165470,False
2018-02-28 00:00:00+00:00,21.5,22.29,16.29,19.26,27597492.0,18.975,166508,False
2018-03-29 00:00:00+00:00,19.4,21.95,18.15,19.25,14842673.0,20.098,91717,False
2018-04-30 00:00:00+00:00,19.04,19.59,15.35,17.51,19777471.0,17.666,114898,False
2018-05-31 00:00:00+00:00,17.42,18.52,16.36,17.62,13933921.0,17.427,82403,False
2018-06-29 00:00:00+00:00,17.85,19.09,15.63,16.6,16709072.0,17.229,96861,False
2018-07-31 00:00:00+00:00,16.15,17.35,13.12,13.42,21704082.0,15.398,121395,False
2018-08-31 00:00:00+00:00,13.45,15.79,12.75,15.26,14408729.0,14.38,84479,False
2018-09-28 00:00:00+00:00,15.11,15.13,12.28,12.55,9507390.0,13.572,59745,False
2018-10-31 00:00:00+00:00,12.63,13.0,9.52,10.52,11948745.0,11.115,74518,False
2018-11-30 00:00:00+00:00,10.61,11.8,8.45,9.4,14116059.0,9.726,80820,False
2018-12-31 00:00:00+00:00,9.76,9.93,6.94,8.47,11713173.0,8.145,63882,False
2019-01-31 00:00:00+00:00,8.32,12.05,8.1,11.86,11215140.0,9.896,61525,False
2019-02-28 00:00:00+00:00,11.86,13.12,10.22,10.65,11067105.0,11.944,60357,False
2019-03-29 00:00:00+00:00,10.74,11.22,9.6,10.35,9496974.0,10.412,51651,False
2019-04-30 00:00:00+00:00,10.5,12.68,10.5,11.97,5129507.0,11.651,31358,False
2019-05-31 00:00:00+00:00,12.08,14.82,11.85,12.75,8436929.0,13.49,50105,False
2019-06-28 00:00:00+00:00,12.86,14.54,12.46,13.92,4923325.0,13.251,29523,False
2019-07-31 00:00:00+00:00,14.3,15.94,13.37,14.59,6639862.0,14.455,37132,False
2019-08-30 00:00:00+00:00,15.49,15.54,11.2,11.94,4806394.0,12.964,29885,False
2019-09-30 00:00:00+00:00,11.79,16.67,11.64,14.63,7144018.0,14.748,42925,False
2019-10-31 00:00:00+00:00,14.76,21.45,13.94,21.37,8502675.0,17.262,46708,False
2019-11-29 00:00:00+00:00,21.54,23.8,20.54,22.24,7721965.0,22.353,47811,False
2019-12-31 00:00:00+00:00,22.3,24.24,20.6,23.47,5987098.0,22.764,39171,False
2020-01-31 00:00:00+00:00,23.88,25.81,21.52,23.01,7277016.0,23.838,44084,False
2020-02-28 00:00:00+00:00,23.09,30.0,18.72,20.91,7302284.0,23.842,44620,False
2020-03-31 00:00:00+00:00,21.0,22.16,11.79,13.8,10541413.0,15.989,69942,False
2020-04-30 00:00:00+00:00,13.12,21.62,12.37,18.39,9196073.0,16.299,58223,False
2020-05-29 00:00:00+00:00,17.5,21.43,16.0,20.73,8151236.0,18.489,50352,False
2020-06-30 00:00:00+00:00,20.66,24.86,19.91,22.63,7784880.0,22.255,46682,False
2020-07-31 00:00:00+00:00,22.56,31.1,22.19,30.09,6783194.0,26.292,42046,False
2020-08-31 00:00:00+00:00,30.0,30.85,23.72,24.52,8315683.0,27.321,46822,False
2020-09-30 00:00:00+00:00,24.64,25.58,19.07,21.46,10811750.0,20.965,57826,False
2020-10-30 00:00:00+00:00,21.77,25.36,21.08,21.29,5397637.0,23.097,31630,False
2020-11-30 00:00:00+00:00,21.48,31.83,21.27,31.64,4925695.0,27.394,30352,False
2020-12-31 00:00:00+00:00,32.0,37.02,29.91,31.15,7762828.0,33.658,43439,False
2021-01-29 00:00:00+00:00,31.86,44.39,31.59,38.6,7091327.0,38.748,40729,False
2021-02-26 00:00:00+00:00,40.02,51.95,38.5,46.38,6855019.0,46.534,43967,False
2021-03-31 00:00:00+00:00,47.2,59.42,41.01,58.04,9423868.0,51.825,57309,False
2021-04-30 00:00:00+00:00,60.75,65.33,49.5,51.07,15660339.0,55.799,93911,False
2021-05-28 00:00:00+00:00,51.54,57.06,44.18,56.33,8192041.0,49.247,49032,False
2021-06-30 00:00:00+00:00,57.36,59.17,49.29,53.72,5414448.0,54.691,33432,False
2021-07-30 00:00:00+00:00,53.71,54.6,44.2,54.01,6064675.0,50.551,37735,False
