date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,9.945,10.095,9.43,9.485,8125036.0,9.77866,25571,False
2016-06-30 00:00:00+00:00,9.4,11.07,9.315,11.005,24297318.0,10.190495,79920,False
2016-07-29 00:00:00+00:00,10.94,11.395,10.275,11.385,19218884.0,10.818595,67685,False
2016-08-31 00:00:00+00:00,11.11,12.25,10.805,11.46,26950110.0,11.600815,98982,False
2016-09-30 00:00:00+00:00,11.255,11.545,10.48,10.945,25446808.0,10.92503,86840,False
2016-10-31 00:00:00+00:00,11.01,11.66,10.855,11.3,18061534.0,11.2969,61908,False
2016-11-30 00:00:00+00:00,11.185,11.22,9.19,10.145,29028870.0,10.183945,101712,False
2016-12-30 00:00:00+00:00,9.975,10.485,9.495,10.37,25063918.0,9.859595,77042,False
2017-01-31 00:00:00+00:00,10.495,10.775,10.165,10.47,15965266.0,10.541685,49440,False
2017-02-28 00:00:00+00:00,10.5,11.375,10.28,10.375,15119962.0,10.750915,47756,False
2017-03-31 00:00:00+00:00,10.35,11.625,10.045,11.365,24223238.0,10.84199,78537,False
2017-04-28 00:00:00+00:00,11.46,11.615,10.905,11.09,15397460.0,11.25117,52731,False
2017-05-31 00:00:00+00:00,11.125,12.39,10.455,11.53,30872486.0,11.38462,93762,False
2017-06-30 00:00:00+00:00,11.69,12.135,11.28,11.765,19163510.0,11.69294,63112,False
2017-07-31 00:00:00+00:00,11.815,12.35,11.48,11.835,14145148.0,11.809085,45298,False
2017-08-31 00:00:00+00:00,11.825,12.395,10.605,11.64,29016830.0,11.435305,81156,False
2017-09-29 00:00:00+00:00,11.8,12.545,11.65,11.91,14528066.0,12.12533,49039,False
2017-10-31 00:00:00+00:00,11.875,12.695,11.82,11.945,16910722.0,12.215735,60843,False
2017-11-30 00:00:00+00:00,11.77,12.09,10.5,10.695,19849666.0,11.23991,69231,False
2017-12-29 00:00:00+00:00,10.66,11.405,10.48,11.365,13801628.0,10.94979,46472,False
2018-01-31 00:00:00+00:00,11.675,13.24,11.61,12.8,15455760.0,12.25722,55415,False
2018-02-28 00:00:00+00:00,12.94,12.95,11.515,11.63,17039370.0,12.20127,61924,False
2018-03-29 00:00:00+00:00,11.53,11.65,10.3,10.81,17904804.0,10.94738,64950,False
2018-04-30 00:00:00+00:00,10.68,10.695,8.575,8.66,24098120.0,9.568165,86183,False
2018-05-31 00:00:00+00:00,8.625,8.625,6.435,6.71,30130748.0,7.245375,95182,False
2018-06-29 00:00:00+00:00,6.875,7.005,5.66,5.92,31360934.0,6.389865,103892,False
2018-07-31 00:00:00+00:00,5.88,6.19,5.35,5.49,25384876.0,5.746085,76981,False
2018-08-31 00:00:00+00:00,5.42,6.295,4.945,5.11,31120212.0,5.525145,99414,False
2018-09-28 00:00:00+00:00,4.995,5.01,4.43,4.63,32020702.0,4.693615,91161,False
2018-10-31 00:00:00+00:00,4.66,6.2,4.61,5.9,39749022.0,5.50608,118598,False
2018-11-30 00:00:00+00:00,5.96,6.34,5.085,6.135,35766066.0,5.754225,106226,False
2018-12-31 00:00:00+00:00,6.31,6.875,5.905,6.77,28888646.0,6.34046,90489,False
2019-01-31 00:00:00+00:00,6.985,7.9,6.695,7.89,30644170.0,7.2355,100537,False
2019-02-28 00:00:00+00:00,7.765,7.83,6.775,7.045,22061532.0,7.297405,73396,False
2019-03-29 00:00:00+00:00,6.855,7.26,5.785,5.975,32067980.0,6.63503,101346,False
2019-04-30 00:00:00+00:00,6.09,6.16,5.12,5.36,23626314.0,5.735901603218344,80982,False
2019-05-31 00:00:00+00:00,5.36,5.61,4.68,5.2,19142838.0,5.18314,94689,False
2019-06-28 00:00:00+00:00,5.3,5.74,5.02,5.24,14891339.0,5.37849,69550,False
2019-07-31 00:00:00+00:00,5.3,5.59,4.99,5.21,19529967.0,5.30728,81333,False
2019-08-30 00:00:00+00:00,5.22,5.35,3.61,4.0,22842166.0,4.31971,89398,False
2019-09-30 00:00:00+00:00,4.12,4.69,4.07,4.47,18754011.0,4.39856,69965,False
2019-10-31 00:00:00+00:00,4.5,4.92,4.37,4.67,22363750.0,4.66292,82952,False
2019-11-29 00:00:00+00:00,4.75,5.38,4.63,5.07,17615191.0,4.95944,67843,False
2019-12-31 00:00:00+00:00,5.13,6.39,5.08,6.26,22924926.0,5.6453,80443,False
2020-01-31 00:00:00+00:00,6.27,6.68,5.81,5.88,34105532.0,6.19949,107514,False
