date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,129.11,134.75,128.76,133.67,16270175.0,131.92,115660,False
2016-06-30 00:00:00+00:00,133.58,141.31,133.1,141.2,57191598.0,138.171,387361,False
2016-07-29 00:00:00+00:00,141.16,144.48,139.32,143.2,54488715.0,141.67,376026,False
2016-08-31 00:00:00+00:00,143.42,144.16,135.55,136.05,36566923.0,140.777,267298,False
2016-09-30 00:00:00+00:00,136.46,141.78,132.39,140.0,49859000.0,137.059,353417,False
2016-10-31 00:00:00+00:00,139.35,146.36,133.03,141.33,64878478.0,140.047,427076,False
2016-11-30 00:00:00+00:00,141.51,159.76,136.22,158.32,73378190.0,148.234,472999,False
2016-12-30 00:00:00+00:00,159.12,164.0,156.23,160.04,54319270.0,160.322,349710,False
2017-01-31 00:00:00+00:00,161.13,163.8,156.09,162.1,52235203.0,160.601,344948,False
2017-02-28 00:00:00+00:00,162.75,166.76,156.49,165.38,54465899.0,161.27,339192,False
2017-03-31 00:00:00+00:00,166.72,172.14,162.74,164.01,58872298.0,167.335,391027,False
2017-04-28 00:00:00+00:00,164.62,176.07,164.25,174.88,46657471.0,168.698,333992,False
2017-05-31 00:00:00+00:00,175.0,178.89,166.65,175.18,44937595.0,173.003,317764,False
2017-06-30 00:00:00+00:00,175.78,188.66,175.19,185.42,41597270.0,182.333,273980,False
2017-07-31 00:00:00+00:00,186.29,193.0,183.86,191.81,37836627.0,188.533,243352,False
2017-08-31 00:00:00+00:00,193.4,199.49,190.63,198.9,33174105.0,194.102,234119,False
2017-09-29 00:00:00+00:00,199.79,200.76,188.25,195.85,39912451.0,196.169,269299,False
2017-10-31 00:00:00+00:00,196.61,212.77,186.0,210.22,53894354.0,201.962,362234,False
2017-11-30 00:00:00+00:00,211.62,228.75,208.92,228.17,33338063.0,214.379,240923,False
2017-12-29 00:00:00+00:00,228.89,231.77,218.19,220.46,32919258.0,222.564,225363,False
2018-01-31 00:00:00+00:00,221.02,250.79,220.0,236.78,54741456.0,235.55,353221,False
2018-02-28 00:00:00+00:00,235.26,237.82,208.48,226.16,52907215.0,226.413,370519,False
2018-03-29 00:00:00+00:00,225.7,231.27,212.49,214.0,53037078.0,223.5,365376,False
2018-04-30 00:00:00+00:00,218.46,241.67,214.63,236.4,47752159.0,229.677,349737,False
2018-05-31 00:00:00+00:00,237.0,249.17,228.23,241.51,37956721.0,238.844,267244,False
2018-06-29 00:00:00+00:00,243.74,256.73,241.29,245.34,33460745.0,250.331,228939,False
2018-07-31 00:00:00+00:00,245.0,259.01,244.12,253.22,30900254.0,253.193,222339,False
2018-08-31 00:00:00+00:00,256.1,270.17,252.23,268.46,30616804.0,262.494,208111,False
2018-09-28 00:00:00+00:00,268.0,271.16,257.48,266.04,30391348.0,265.148,205252,False
2018-10-31 00:00:00+00:00,267.25,272.81,253.32,261.35,53519378.0,264.246,394349,False
2018-11-30 00:00:00+00:00,262.92,285.45,258.28,281.36,45789523.0,270.273,330144,False
2018-12-31 00:00:00+00:00,283.0,287.94,231.81,249.12,53552546.0,256.526,379892,False
2019-01-31 00:00:00+00:00,245.0,272.44,236.12,270.2,53830989.0,254.522,393945,False
