date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,23.83,24.12,23.36,23.84,147315.0,1.0
2025-11-17 16:00:00+00:00,23.9,24.05,23.63,23.78,511734.0,1.0
2025-11-17 20:00:00+00:00,23.78,23.88,23.5,23.5,258682.0,1.0
2025-11-18 00:00:00+00:00,24.2,24.2,24.2,24.2,180.0,0.0
2025-11-18 12:00:00+00:00,23.72,23.8,22.7,23.66,212281.0,1.0
2025-11-18 16:00:00+00:00,23.62,24.08,23.48,23.73,413147.0,1.0
2025-11-18 20:00:00+00:00,23.75,23.89,23.4,23.55,328122.0,1.0
2025-11-19 00:00:00+00:00,23.55,23.55,23.55,23.55,0.0,0.0
2025-11-19 12:00:00+00:00,23.8,24.45,23.2,24.29,97720.0,1.0
2025-11-19 16:00:00+00:00,24.31,25.07,23.92,24.96,316308.0,1.0
2025-11-19 20:00:00+00:00,24.96,25.65,24.95,25.65,288034.0,1.0
2025-11-20 00:00:00+00:00,25.65,25.65,25.65,25.65,0.0,0.0
2025-11-20 08:00:00+00:00,25.5,26.0,25.5,26.0,669.0,0.0
2025-11-20 12:00:00+00:00,26.0,26.28,25.41,26.06,85259.0,1.0
2025-11-20 16:00:00+00:00,26.06,26.2,25.2,25.37,188441.0,1.0
2025-11-20 20:00:00+00:00,25.37,25.39,24.7,24.84,188742.0,1.0
2025-11-21 00:00:00+00:00,24.84,24.84,24.84,24.84,0.0,0.0
2025-11-21 12:00:00+00:00,25.0,25.5,24.68,25.23,178863.0,1.0
2025-11-21 16:00:00+00:00,25.2,26.08,24.83,26.08,158323.0,1.0
2025-11-21 20:00:00+00:00,26.06,26.38,25.36,26.38,209232.0,1.0
2025-11-22 00:00:00+00:00,26.38,26.38,26.38,26.38,0.0,0.0
2025-11-24 12:00:00+00:00,26.4,26.94,25.89,26.5,125075.0,1.0
2025-11-24 16:00:00+00:00,26.51,27.07,26.35,26.68,213197.0,1.0
2025-11-24 20:00:00+00:00,26.7,27.0,26.7,27.0,353589.0,1.0
2025-11-25 00:00:00+00:00,27.0,27.0,26.99,26.99,920.0,0.0
2025-11-25 12:00:00+00:00,27.25,27.98,26.5,27.14,162475.0,1.0
2025-11-25 16:00:00+00:00,27.14,27.42,27.01,27.28,91837.0,1.0
2025-11-25 20:00:00+00:00,27.29,27.7,27.19,27.69,209996.0,1.0
2025-11-26 00:00:00+00:00,27.69,27.69,27.69,27.69,0.0,0.0
2025-11-26 12:00:00+00:00,27.49,28.41,27.0,28.39,148266.0,1.0
2025-11-26 16:00:00+00:00,28.44,30.0,28.34,29.76,388297.0,1.0
2025-11-26 20:00:00+00:00,29.8,29.96,29.25,29.52,253911.0,1.0
2025-11-27 00:00:00+00:00,29.52,29.52,29.52,29.52,0.0,0.0
2025-11-28 08:00:00+00:00,28.9,28.9,28.9,28.9,100.0,0.0
2025-11-28 12:00:00+00:00,28.9,29.46,28.75,28.93,96533.0,1.0
2025-11-28 16:00:00+00:00,28.94,29.0,28.41,28.51,145629.0,1.0
2025-11-28 20:00:00+00:00,28.51,28.51,28.51,28.51,0.0,1.0
2025-12-01 08:00:00+00:00,28.52,28.52,28.5,28.5,700.0,0.0
2025-12-01 12:00:00+00:00,28.5,28.87,27.5,27.82,98270.0,1.0
2025-12-01 16:00:00+00:00,27.82,28.58,27.39,28.29,276432.0,1.0
2025-12-01 20:00:00+00:00,28.33,28.74,28.27,28.46,249448.0,1.0
2025-12-02 00:00:00+00:00,28.46,28.46,28.46,28.46,0.0,0.0
2025-12-02 12:00:00+00:00,28.45,28.69,27.29,27.48,134501.0,1.0
2025-12-02 16:00:00+00:00,27.48,27.62,25.13,25.13,463880.0,1.0
2025-12-02 20:00:00+00:00,25.12,25.15,24.0,24.4,400447.0,1.0
2025-12-03 00:00:00+00:00,24.41,24.41,24.4,24.4,1334.0,0.0
2025-12-03 12:00:00+00:00,24.85,25.83,24.45,25.13,115204.0,1.0
2025-12-03 16:00:00+00:00,25.25,25.3,24.6,24.8,237835.0,1.0
2025-12-03 20:00:00+00:00,24.8,24.95,24.27,24.35,164655.0,1.0
2025-12-04 00:00:00+00:00,24.35,24.35,24.35,24.35,0.0,0.0
2025-12-04 12:00:00+00:00,24.89,24.94,24.19,24.56,164679.0,1.0
2025-12-04 16:00:00+00:00,24.51,24.72,23.91,24.07,221442.0,1.0
2025-12-04 20:00:00+00:00,24.07,24.37,23.93,24.28,138578.0,1.0
2025-12-05 00:00:00+00:00,24.28,24.28,24.28,24.28,0.0,0.0
2025-12-05 12:00:00+00:00,25.0,25.0,23.2,23.43,136231.0,1.0
2025-12-05 16:00:00+00:00,23.36,23.43,22.51,22.71,146094.0,1.0
2025-12-05 20:00:00+00:00,22.7,23.18,21.8,22.61,371750.0,1.0
2025-12-06 00:00:00+00:00,22.61,22.61,22.61,22.61,0.0,0.0
2025-12-08 08:00:00+00:00,23.59,23.59,22.99,22.99,2500.0,0.0
2025-12-08 12:00:00+00:00,23.0,24.05,22.81,23.21,99199.0,1.0
2025-12-08 16:00:00+00:00,23.21,23.3,22.91,23.27,88094.0,1.0
2025-12-08 20:00:00+00:00,23.27,23.4,23.05,23.08,151145.0,1.0
2025-12-09 00:00:00+00:00,23.08,23.08,23.08,23.08,0.0,0.0
2025-12-09 08:00:00+00:00,23.24,23.24,23.24,23.24,183.0,0.0
2025-12-09 12:00:00+00:00,23.24,23.56,23.01,23.1,56104.0,1.0
2025-12-09 16:00:00+00:00,23.12,23.36,22.74,22.8,120605.0,1.0
2025-12-09 20:00:00+00:00,22.83,22.96,22.67,22.67,175100.0,1.0
2025-12-10 00:00:00+00:00,22.67,22.67,22.67,22.67,0.0,0.0
2025-12-10 12:00:00+00:00,22.74,23.24,22.37,22.56,70774.0,1.0
2025-12-10 16:00:00+00:00,22.56,22.63,22.11,22.44,148967.0,1.0
2025-12-10 20:00:00+00:00,22.39,22.53,22.01,22.01,182484.0,1.0
2025-12-11 00:00:00+00:00,22.59,22.6,22.1,22.1,35098.0,0.0
2025-12-11 08:00:00+00:00,22.28,22.28,22.28,22.28,455.0,0.0
2025-12-11 12:00:00+00:00,22.28,22.62,21.74,22.3,52456.0,1.0
2025-12-11 16:00:00+00:00,22.3,22.57,22.12,22.45,105924.0,1.0
2025-12-11 20:00:00+00:00,22.44,22.8,22.3,22.8,658572.0,1.0
2025-12-12 00:00:00+00:00,22.8,22.8,22.8,22.8,0.0,0.0
2025-12-12 12:00:00+00:00,22.38,22.66,22.01,22.23,34164.0,1.0
2025-12-12 16:00:00+00:00,22.25,22.42,22.04,22.14,86275.0,1.0
2025-12-12 20:00:00+00:00,22.14,22.19,21.78,21.8,213311.0,1.0
2025-12-13 00:00:00+00:00,21.8,21.8,21.8,21.8,0.0,0.0
2025-12-15 12:00:00+00:00,22.39,22.58,21.4,22.03,186084.0,1.0
2025-12-15 16:00:00+00:00,22.04,22.52,21.88,22.52,280403.0,1.0
2025-12-15 20:00:00+00:00,22.52,23.3,22.5,23.15,247594.0,1.0
2025-12-16 00:00:00+00:00,23.15,23.15,23.15,23.15,0.0,0.0
2025-12-16 08:00:00+00:00,22.85,22.85,22.85,22.85,218.0,0.0
2025-12-16 12:00:00+00:00,23.11,24.44,22.88,24.1,103085.0,1.0
2025-12-16 16:00:00+00:00,24.06,24.71,23.22,23.38,375426.0,1.0
2025-12-16 20:00:00+00:00,23.44,23.75,23.34,23.47,255625.0,1.0
2025-12-17 00:00:00+00:00,23.84,23.85,23.51,23.51,24707.0,0.0
2025-12-17 12:00:00+00:00,23.44,23.8,23.01,23.09,153378.0,1.0
2025-12-17 16:00:00+00:00,23.08,23.6,22.87,22.88,218010.0,1.0
2025-12-17 20:00:00+00:00,22.92,22.92,22.42,22.62,151944.0,1.0
2025-12-18 00:00:00+00:00,22.62,22.62,22.62,22.62,0.0,0.0
2025-12-18 08:00:00+00:00,22.55,22.55,22.21,22.21,1791.0,0.0
2025-12-18 12:00:00+00:00,22.18,22.93,22.18,22.35,115195.0,1.0
2025-12-18 16:00:00+00:00,22.35,22.61,21.82,21.85,172787.0,1.0
2025-12-18 20:00:00+00:00,21.86,22.9,21.62,21.9,244752.0,1.0
2025-12-19 00:00:00+00:00,21.99,21.99,21.99,21.99,273.0,0.0
2025-12-19 12:00:00+00:00,21.56,23.2,21.56,22.86,82022.0,1.0
2025-12-19 16:00:00+00:00,22.87,23.18,22.61,22.8,70478.0,1.0
2025-12-19 20:00:00+00:00,22.78,23.2,22.62,22.8,221713.0,1.0
2025-12-20 00:00:00+00:00,22.8,22.8,22.8,22.8,0.0,0.0
2025-12-22 12:00:00+00:00,23.0,23.92,22.78,23.55,80769.0,1.0
2025-12-22 16:00:00+00:00,23.56,24.04,23.54,23.81,200961.0,1.0
2025-12-22 20:00:00+00:00,23.81,23.83,23.29,23.79,267125.0,1.0
2025-12-23 00:00:00+00:00,23.6,23.74,23.01,23.6,20067.0,0.0
2025-12-23 08:00:00+00:00,23.21,23.58,23.21,23.58,208.0,0.0
2025-12-23 12:00:00+00:00,23.4,23.7,22.6,23.13,96696.0,1.0
2025-12-23 16:00:00+00:00,23.13,23.38,23.05,23.26,110991.0,1.0
2025-12-23 20:00:00+00:00,23.26,23.42,23.13,23.4,112059.0,1.0
2025-12-24 00:00:00+00:00,23.4,23.4,23.4,23.4,0.0,0.0
2025-12-24 12:00:00+00:00,23.47,24.14,23.1,23.79,65266.0,1.0
2025-12-24 16:00:00+00:00,23.79,23.8,23.46,23.76,97973.0,1.0
2025-12-24 20:00:00+00:00,23.76,23.76,23.76,23.76,0.0,1.0
2025-12-26 12:00:00+00:00,23.51,23.79,22.89,23.35,36569.0,1.0
2025-12-26 16:00:00+00:00,23.34,23.71,23.19,23.23,74349.0,1.0
2025-12-26 20:00:00+00:00,23.17,23.22,22.98,23.03,53742.0,1.0
2025-12-27 00:00:00+00:00,23.03,23.03,23.03,23.03,0.0,0.0
2025-12-29 12:00:00+00:00,22.96,23.34,22.5,23.16,54620.0,1.0
2025-12-29 16:00:00+00:00,23.13,23.23,22.83,23.12,107122.0,1.0
2025-12-29 20:00:00+00:00,23.07,23.33,22.85,23.33,160341.0,1.0
2025-12-30 00:00:00+00:00,23.33,23.33,23.33,23.33,0.0,0.0
2025-12-30 12:00:00+00:00,23.2,23.54,22.62,23.05,134103.0,1.0
2025-12-30 16:00:00+00:00,23.07,23.31,22.87,23.23,223147.0,1.0
2025-12-30 20:00:00+00:00,23.19,23.33,23.08,23.17,194795.0,1.0
2025-12-31 00:00:00+00:00,23.17,23.17,23.17,23.17,0.0,0.0
2025-12-31 12:00:00+00:00,23.08,23.56,22.85,23.16,28904.0,1.0
2025-12-31 16:00:00+00:00,23.15,23.49,22.81,23.27,174263.0,1.0
2025-12-31 20:00:00+00:00,23.29,23.63,23.27,23.42,201062.0,1.0
2026-01-01 00:00:00+00:00,23.42,23.42,23.42,23.42,0.0,0.0
2026-01-02 12:00:00+00:00,23.7,23.81,23.15,23.6,83056.0,1.0
2026-01-02 16:00:00+00:00,23.6,23.66,22.44,22.78,101617.0,1.0
2026-01-02 20:00:00+00:00,22.79,23.02,22.63,22.71,125888.0,1.0
2026-01-03 00:00:00+00:00,22.71,22.71,22.71,22.71,0.0,0.0
2026-01-05 12:00:00+00:00,24.76,24.76,20.99,21.5,152388.0,1.0
