date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,24.25,25.25,24.08,24.99,32013552.0,24.599,109307,False
2016-06-30 00:00:00+00:00,24.99,25.64,22.51,24.24,22629432.0,24.091,134120,False
2016-07-29 00:00:00+00:00,24.19,25.83,23.73,24.16,7365032.0,24.924,48299,False
2016-08-31 00:00:00+00:00,24.16,25.24,23.42,24.25,13493944.0,24.183,88139,False
2016-09-30 00:00:00+00:00,24.16,25.15,22.9,23.61,18646247.0,23.622,90772,False
2016-10-31 00:00:00+00:00,23.46,23.7,22.33,22.6,8364032.0,23.061,47183,False
2016-11-30 00:00:00+00:00,22.51,24.48,22.19,22.86,16106223.0,23.281,89159,False
2016-12-30 00:00:00+00:00,22.75,27.79,22.46,27.48,14187459.0,25.587,71267,False
2017-01-31 00:00:00+00:00,27.86,27.86,25.5,27.2,30393596.0,26.656,167038,False
2017-02-28 00:00:00+00:00,27.13,27.94,26.68,27.55,21199314.0,27.305,128161,False
2017-03-31 00:00:00+00:00,27.59,28.3,26.45,27.98,15946244.0,27.27,90015,False
2017-04-28 00:00:00+00:00,27.99,28.54,27.08,28.2,9603187.0,27.662,63272,False
2017-05-31 00:00:00+00:00,28.28,30.0,27.83,29.96,40845690.0,28.814,212721,False
2017-06-30 00:00:00+00:00,30.04,30.73,25.93,27.22,50727435.0,28.12,271478,False
2017-07-31 00:00:00+00:00,27.37,28.46,26.37,28.15,27794170.0,27.563,146761,False
2017-08-31 00:00:00+00:00,28.27,28.79,26.43,27.45,32751014.0,27.397,183881,False
2017-09-29 00:00:00+00:00,27.54,28.63,26.56,26.7,54676264.0,27.187,303571,False
2017-10-31 00:00:00+00:00,26.75,27.79,26.24,27.28,39550072.0,27.057,209035,False
2017-11-30 00:00:00+00:00,27.38,29.32,25.43,29.12,53893135.0,27.499,280744,False
2017-12-29 00:00:00+00:00,29.0,32.1,28.9,31.93,43262215.0,30.661,248700,False
2018-01-31 00:00:00+00:00,32.02,33.91,31.7,32.13,44288457.0,32.687,223514,False
2018-02-28 00:00:00+00:00,32.07,33.72,29.08,33.39,50067445.0,31.402,299949,False
2018-03-29 00:00:00+00:00,33.46,35.1,32.75,32.77,35268881.0,33.815,223006,False
2018-04-30 00:00:00+00:00,32.76,35.75,31.76,34.18,28035739.0,33.9,172130,False
2018-05-31 00:00:00+00:00,32.72,36.3,31.87,35.68,36616694.0,34.483,207831,False
2018-06-29 00:00:00+00:00,36.01,38.74,35.98,37.82,26890668.0,37.514,160497,False
2018-07-31 00:00:00+00:00,37.57,40.92,32.91,33.81,50940329.0,37.317,250833,False
2018-08-31 00:00:00+00:00,33.77,34.28,31.76,32.59,76080927.0,33.294,358108,False
2018-09-28 00:00:00+00:00,32.49,32.89,30.69,30.82,40198835.0,31.567,192743,False
2018-10-31 00:00:00+00:00,31.06,31.06,28.11,29.17,44486588.0,29.53,265588,False
2018-11-30 00:00:00+00:00,29.17,33.22,27.51,33.18,41206146.0,31.135,263215,False
2018-12-31 00:00:00+00:00,33.39,33.5,29.55,31.64,24967362.0,31.695,159650,False
2019-01-31 00:00:00+00:00,31.37,34.49,30.98,33.72,22095510.0,33.224,141579,False
2019-02-28 00:00:00+00:00,33.76,36.12,32.9,35.24,40242325.0,34.824,228768,False
2019-03-29 00:00:00+00:00,35.42,35.48,33.78,34.91,19358532.0,34.545,120849,False
2019-04-30 00:00:00+00:00,35.05,36.63,34.5,36.55,16094314.0,35.562,86944,False
2019-05-31 00:00:00+00:00,36.58,39.0,34.21,34.56,31760808.0,37.275,184716,False
2019-06-28 00:00:00+00:00,34.62,37.16,34.46,35.76,21469238.0,35.868,126174,False
2019-07-31 00:00:00+00:00,35.93,37.0,33.81,35.37,18915499.0,35.653,109146,False
2019-08-30 00:00:00+00:00,35.37,40.76,34.14,40.45,31066455.0,38.319,169975,False
2019-09-30 00:00:00+00:00,40.23,43.1,39.8,41.1,31492089.0,41.388,179586,False
2019-10-31 00:00:00+00:00,41.2,41.57,38.95,39.67,27449978.0,40.151,170566,False
2019-11-29 00:00:00+00:00,39.94,42.43,38.56,39.77,20835545.0,39.838,129526,False
2019-12-31 00:00:00+00:00,39.68,42.08,39.18,41.89,14821381.0,40.502,87492,False
2020-01-31 00:00:00+00:00,41.92,42.28,39.92,40.17,12957813.0,41.023,82164,False
2020-02-28 00:00:00+00:00,40.24,41.98,32.61,33.64,23009965.0,38.41,135681,False
2020-03-31 00:00:00+00:00,33.77,35.14,8.32,17.71,111153824.0,17.252,555599,False
2020-04-30 00:00:00+00:00,16.55,22.77,13.65,21.5,79251078.0,17.918,389868,False
2020-05-29 00:00:00+00:00,20.39,21.13,15.6,19.14,74392895.0,18.652,355040,False
2020-06-30 00:00:00+00:00,19.22,26.62,18.57,19.72,85307332.0,21.054,387630,False
2020-07-31 00:00:00+00:00,19.72,22.04,18.44,20.3,59635281.0,20.374,287304,False
2020-08-31 00:00:00+00:00,20.25,25.22,19.41,24.35,41237059.0,23.173,227686,False
2020-09-30 00:00:00+00:00,23.91,26.1,21.84,22.22,37264309.0,23.93,224149,False
2020-10-30 00:00:00+00:00,22.44,25.61,20.57,20.9,41002379.0,23.465,230305,False
2020-11-30 00:00:00+00:00,20.16,32.89,19.82,31.48,52755616.0,28.622,280086,False
2020-12-31 00:00:00+00:00,32.07,34.4,31.58,33.31,24804752.0,33.25,140294,False
2021-01-29 00:00:00+00:00,33.41,37.12,30.91,30.99,34079750.0,34.456,154076,False
2021-02-26 00:00:00+00:00,31.29,38.27,30.64,36.46,27695936.0,35.788,150505,False
2021-03-31 00:00:00+00:00,37.38,41.23,35.53,38.12,41953939.0,38.112,216376,False
2021-04-30 00:00:00+00:00,38.04,42.1,37.32,41.46,21930990.0,39.209,123788,False
2021-05-28 00:00:00+00:00,41.47,41.72,36.55,38.94,30500978.0,38.769,169310,False
2021-06-30 00:00:00+00:00,39.13,40.51,35.77,38.36,28225759.0,38.402,157066,False
2021-07-30 00:00:00+00:00,38.54,38.94,32.34,34.34,32297273.0,35.097,168333,False
2021-08-31 00:00:00+00:00,34.68,36.28,31.03,34.0,46447489.0,33.719,203783,False
