date,open,high,low,close,volume,average,barCount,is_rth
2020-03-31 00:00:00+00:00,9.3,9.3,9.3,9.3,2400000.0,9.3,3,False
2020-04-30 00:00:00+00:00,9.6,10.15,9.6,10.15,218521.0,9.725,44,False
2020-05-29 00:00:00+00:00,10.15,10.26,9.78,9.98,62951.0,9.961,56,False
2020-06-30 00:00:00+00:00,10.0,10.34,9.94,10.14,497776.0,9.977,134,False
2020-07-31 00:00:00+00:00,10.07,10.96,10.07,10.26,2186651.0,10.37,1006,False
2020-08-31 00:00:00+00:00,10.32,10.95,10.18,10.54,1566092.0,10.483,2153,False
2020-09-30 00:00:00+00:00,10.54,11.39,10.14,10.31,12813233.0,10.536,28405,False
2020-10-30 00:00:00+00:00,10.45,10.45,9.9,9.95,14051455.0,10.003,16273,False
2020-11-30 00:00:00+00:00,9.96,10.22,9.9,10.16,6407822.0,10.007,11129,False
2020-12-31 00:00:00+00:00,10.19,14.38,10.04,13.13,112270347.0,11.832,368128,False
2021-01-29 00:00:00+00:00,13.8,13.83,9.2,9.91,125730717.0,11.79875458628809,363063,False
2021-02-26 00:00:00+00:00,10.15,11.68,7.24,7.57,103832898.0,9.15307,293532,False
2021-03-31 00:00:00+00:00,7.98,12.45,7.54,7.93,266308841.0,9.1162,736672,False
2021-04-30 00:00:00+00:00,8.0,8.45,7.18,8.16,75528137.0,7.71376,233344,False
2021-05-28 00:00:00+00:00,8.21,9.4,6.25,8.89,125667726.0,7.8274,399749,False
2021-06-30 00:00:00+00:00,8.89,10.98,8.41,8.45,131175055.0,9.62449,420766,False
2021-07-30 00:00:00+00:00,8.45,8.59,7.21,7.63,50219480.0,7.84905,182256,False
2021-08-31 00:00:00+00:00,7.63,7.94,6.96,7.35,58838896.0,7.4167,208231,False
2021-09-30 00:00:00+00:00,7.35,7.57,6.73,6.95,39965335.0,7.07632,153492,False
2021-10-29 00:00:00+00:00,6.94,7.36,6.37,6.8,35830688.0,6.8543,122666,False
2021-11-30 00:00:00+00:00,6.79,7.51,5.41,6.89,82607290.0,6.63956,279061,False
2021-12-31 00:00:00+00:00,6.89,7.16,5.91,5.92,55118356.0,6.54851,191818,False
2022-01-31 00:00:00+00:00,6.0,6.2,4.79,5.17,36938473.0,5.49229,131494,False
2022-02-28 00:00:00+00:00,5.12,5.14,3.93,4.34,58626116.0,4.47369,192386,False
2022-03-31 00:00:00+00:00,4.2,4.95,3.99,4.53,57503268.0,4.43059,212102,False
2022-04-29 00:00:00+00:00,4.56,4.65,3.41,3.71,32703618.0,3.9566,117321,False
2022-05-31 00:00:00+00:00,3.71,4.24,3.38,4.05,44107710.0,3.78042,162692,False
2022-06-30 00:00:00+00:00,4.06,4.24,3.13,3.54,26846824.0,3.66462,109127,False
2022-07-29 00:00:00+00:00,3.52,3.98,3.33,3.77,25445814.0,3.65973,99942,False
2022-08-31 00:00:00+00:00,3.7,4.38,3.55,3.62,27106162.0,3.91572,105416,False
2022-09-30 00:00:00+00:00,3.6,3.94,2.84,2.93,24153502.0,3.45377,86037,False
2022-10-31 00:00:00+00:00,2.96,3.38,2.85,3.28,17150257.0,3.13196,68806,False
2022-11-30 00:00:00+00:00,3.32,4.51,3.04,4.45,25103485.0,3.96137,96448,False
2022-12-30 00:00:00+00:00,4.47,4.88,3.23,3.31,24379169.0,4.12016,89549,False
2023-01-31 00:00:00+00:00,3.4,4.66,3.31,4.58,15078412.0,4.00289,57092,False
2023-02-28 00:00:00+00:00,4.55,4.92,4.06,4.26,13338084.0,4.40496,54166,False
2023-03-31 00:00:00+00:00,4.2,5.03,4.16,4.91,22976276.0,4.69033,91642,False
2023-04-28 00:00:00+00:00,4.86,6.35,4.82,6.0,21004481.0,5.40027,78927,False
2023-05-31 00:00:00+00:00,5.98,5.99,4.72,5.13,24884503.0,5.23738,104529,False
2023-06-30 00:00:00+00:00,5.13,5.85,5.03,5.6,14774610.0,5.50735,65925,False
2023-07-31 00:00:00+00:00,5.56,6.7,5.0,6.56,18328627.0,5.91842,77160,False
2023-08-31 00:00:00+00:00,6.5,6.98,5.5,5.96,19149157.0,6.16667,80721,False
2023-09-29 00:00:00+00:00,6.0,6.07,4.71,4.85,14760040.0,5.24398,61665,False
2023-10-31 00:00:00+00:00,4.8,5.3,4.49,4.85,17136423.0,4.95651,74325,False
2023-11-30 00:00:00+00:00,4.88,5.85,4.81,5.45,21898010.0,5.47235,91565,False
2023-12-29 00:00:00+00:00,5.46,7.43,5.43,7.15,22227355.0,6.71849,81989,False
2024-01-31 00:00:00+00:00,7.03,7.18,5.99,6.7,21889519.0,6.54266,85118,False
2024-02-29 00:00:00+00:00,6.72,7.27,5.82,6.38,20573304.0,6.72721,85798,False
2024-03-28 00:00:00+00:00,6.46,7.75,6.25,7.26,24714418.0,7.01307,96965,False
2024-04-30 00:00:00+00:00,7.27,7.27,5.86,6.3,44057568.0,6.33724,171741,False
2024-05-31 00:00:00+00:00,6.3,7.62,6.3,7.37,28982008.0,7.14997,115146,False
2024-06-28 00:00:00+00:00,7.41,7.79,6.75,6.93,13187413.0,7.24011,54193,False
2024-07-31 00:00:00+00:00,6.94,8.62,6.54,8.4,21391689.0,7.66713,86904,False
