date,open,high,low,close,volume,is_rth
2025-11-17 12:00:00+00:00,35.48,35.65,35.0,35.36,118284.0,1.0
2025-11-17 16:00:00+00:00,35.38,35.43,34.29,34.31,227964.0,1.0
2025-11-17 20:00:00+00:00,34.31,34.4,34.19,34.29,607942.0,1.0
2025-11-18 00:00:00+00:00,34.29,34.29,34.29,34.29,0.0,0.0
2025-11-18 12:00:00+00:00,34.11,34.36,33.86,34.07,92088.0,1.0
2025-11-18 16:00:00+00:00,34.05,34.79,34.0,34.75,346834.0,1.0
2025-11-18 20:00:00+00:00,34.73,34.98,34.72,34.77,467729.0,1.0
2025-11-19 00:00:00+00:00,34.77,34.77,34.77,34.77,0.0,0.0
2025-11-19 12:00:00+00:00,34.87,35.15,34.62,34.71,85041.0,1.0
2025-11-19 16:00:00+00:00,34.71,34.82,34.5,34.75,185465.0,1.0
2025-11-19 20:00:00+00:00,34.75,34.98,34.68,34.98,419788.0,1.0
2025-11-20 00:00:00+00:00,34.98,34.98,34.98,34.98,0.0,0.0
2025-11-20 12:00:00+00:00,35.19,35.81,35.1,35.79,213979.0,1.0
2025-11-20 16:00:00+00:00,35.79,35.82,34.95,35.46,463121.0,1.0
2025-11-20 20:00:00+00:00,35.44,35.44,34.76,34.79,532890.0,1.0
2025-11-21 00:00:00+00:00,34.79,34.79,34.79,34.79,0.0,0.0
2025-11-21 12:00:00+00:00,34.31,35.59,33.29,35.43,290622.0,1.0
2025-11-21 16:00:00+00:00,35.43,36.03,35.22,35.95,366579.0,1.0
2025-11-21 20:00:00+00:00,35.97,35.97,35.62,35.74,737294.0,1.0
2025-11-22 00:00:00+00:00,35.74,35.74,35.74,35.74,0.0,0.0
2025-11-24 12:00:00+00:00,36.16,36.69,35.85,36.55,173122.0,1.0
2025-11-24 16:00:00+00:00,36.55,36.8,36.24,36.46,398074.0,1.0
2025-11-24 20:00:00+00:00,36.47,36.61,36.36,36.47,576849.0,1.0
2025-11-25 00:00:00+00:00,36.47,36.47,36.47,36.47,0.0,0.0
2025-11-25 12:00:00+00:00,36.62,37.05,34.1,36.74,232893.0,1.0
2025-11-25 16:00:00+00:00,36.76,37.06,36.7,37.02,264718.0,1.0
2025-11-25 20:00:00+00:00,37.0,37.15,36.92,36.98,520056.0,1.0
2025-11-26 00:00:00+00:00,36.98,36.98,36.98,36.98,0.0,0.0
2025-11-26 12:00:00+00:00,37.02,37.34,36.77,37.18,111146.0,1.0
2025-11-26 16:00:00+00:00,37.18,37.28,37.02,37.23,245615.0,1.0
2025-11-26 20:00:00+00:00,37.23,37.43,36.99,37.04,834500.0,1.0
2025-11-27 00:00:00+00:00,37.04,37.04,37.04,37.04,0.0,0.0
2025-11-28 12:00:00+00:00,37.2,37.51,36.98,37.08,115988.0,1.0
2025-11-28 16:00:00+00:00,37.09,37.16,35.04,36.91,302404.0,1.0
2025-11-28 20:00:00+00:00,36.91,36.91,36.91,36.91,0.0,1.0
2025-12-01 12:00:00+00:00,36.54,36.85,36.34,36.7,96841.0,1.0
2025-12-01 16:00:00+00:00,36.67,36.74,36.47,36.5,147445.0,1.0
2025-12-01 20:00:00+00:00,36.49,36.58,36.24,36.34,595832.0,1.0
2025-12-02 00:00:00+00:00,36.34,36.34,36.34,36.34,0.0,0.0
2025-12-02 12:00:00+00:00,36.35,36.56,35.25,35.6,407982.0,1.0
2025-12-02 16:00:00+00:00,35.58,35.88,34.64,34.69,572842.0,1.0
2025-12-02 20:00:00+00:00,34.67,35.29,34.48,34.97,1117064.0,1.0
2025-12-03 00:00:00+00:00,34.97,34.97,34.97,34.97,0.0,0.0
2025-12-03 12:00:00+00:00,35.4,35.4,34.69,35.16,101659.0,1.0
2025-12-03 16:00:00+00:00,35.18,35.55,35.05,35.07,366681.0,1.0
2025-12-03 20:00:00+00:00,35.05,35.38,34.97,35.21,1159459.0,1.0
2025-12-04 00:00:00+00:00,35.21,35.21,35.21,35.21,0.0,0.0
2025-12-04 12:00:00+00:00,35.71,35.71,34.88,35.23,165116.0,1.0
2025-12-04 16:00:00+00:00,35.23,35.34,34.95,35.08,367476.0,1.0
2025-12-04 20:00:00+00:00,35.09,35.42,35.06,35.25,498865.0,1.0
2025-12-05 00:00:00+00:00,35.25,35.25,35.25,35.25,0.0,0.0
2025-12-05 12:00:00+00:00,35.45,35.56,34.95,35.44,213364.0,1.0
2025-12-05 16:00:00+00:00,35.48,35.52,34.61,34.7,697860.0,1.0
2025-12-05 20:00:00+00:00,34.69,34.7,34.12,34.35,799702.0,1.0
2025-12-06 00:00:00+00:00,34.35,34.35,34.35,34.35,0.0,0.0
2025-12-08 12:00:00+00:00,34.57,34.57,33.43,33.77,179538.0,1.0
2025-12-08 16:00:00+00:00,33.77,33.9,33.3,33.32,523498.0,1.0
2025-12-08 20:00:00+00:00,33.32,33.51,33.14,33.21,889645.0,1.0
2025-12-09 00:00:00+00:00,33.21,33.21,33.21,33.21,0.0,0.0
2025-12-09 12:00:00+00:00,33.04,33.37,31.45,31.65,1177392.0,1.0
2025-12-09 16:00:00+00:00,31.65,31.9,30.64,31.05,2337356.0,1.0
2025-12-09 20:00:00+00:00,31.05,31.09,30.36,30.39,1729078.0,1.0
2025-12-10 00:00:00+00:00,30.3,30.3,30.3,30.3,1481.0,0.0
2025-12-10 12:00:00+00:00,30.5,30.62,29.64,29.73,544703.0,1.0
2025-12-10 16:00:00+00:00,29.76,30.69,29.4,30.6,1484454.0,1.0
2025-12-10 20:00:00+00:00,30.55,30.65,30.07,30.5,1795916.0,1.0
2025-12-11 00:00:00+00:00,30.4,30.5,30.01,30.5,634.0,0.0
2025-12-11 12:00:00+00:00,30.41,31.53,30.1,31.44,2082163.0,1.0
2025-12-11 16:00:00+00:00,31.45,32.29,31.31,32.11,1153842.0,1.0
2025-12-11 20:00:00+00:00,32.1,32.56,32.0,32.26,1216790.0,1.0
2025-12-12 00:00:00+00:00,32.26,32.27,32.26,32.26,0.0,0.0
2025-12-12 12:00:00+00:00,32.46,32.74,32.11,32.66,318225.0,1.0
2025-12-12 16:00:00+00:00,32.66,32.66,32.15,32.33,505800.0,1.0
2025-12-12 20:00:00+00:00,32.33,32.69,32.2,32.2,1020897.0,1.0
2025-12-13 00:00:00+00:00,32.2,32.2,32.2,32.2,0.0,0.0
2025-12-15 12:00:00+00:00,33.21,33.56,32.41,32.61,268169.0,1.0
2025-12-15 16:00:00+00:00,32.61,33.09,32.59,33.03,392822.0,1.0
2025-12-15 20:00:00+00:00,33.01,33.06,32.46,32.56,816700.0,1.0
2025-12-16 00:00:00+00:00,32.56,32.56,32.56,32.56,0.0,0.0
2025-12-16 08:00:00+00:00,32.59,32.59,32.59,32.59,100.0,0.0
2025-12-16 12:00:00+00:00,32.59,33.0,32.17,32.83,267105.0,1.0
2025-12-16 16:00:00+00:00,32.83,33.07,32.73,33.04,355118.0,1.0
2025-12-16 20:00:00+00:00,33.03,33.16,32.77,33.0,790804.0,1.0
2025-12-17 00:00:00+00:00,33.0,33.0,33.0,33.0,0.0,0.0
2025-12-17 08:00:00+00:00,33.05,33.05,33.05,33.05,470.0,0.0
2025-12-17 12:00:00+00:00,33.05,33.24,32.57,33.05,264884.0,1.0
2025-12-17 16:00:00+00:00,33.05,33.12,32.22,32.34,372845.0,1.0
2025-12-17 20:00:00+00:00,32.32,32.43,32.1,32.27,566905.0,1.0
2025-12-18 00:00:00+00:00,32.27,32.27,32.27,32.27,0.0,0.0
2025-12-18 12:00:00+00:00,32.32,33.34,32.27,32.85,178097.0,1.0
2025-12-18 16:00:00+00:00,32.87,33.03,32.56,32.66,231477.0,1.0
2025-12-18 20:00:00+00:00,32.65,32.81,32.52,32.75,407232.0,1.0
2025-12-19 00:00:00+00:00,32.75,32.75,32.75,32.75,0.0,0.0
2025-12-19 12:00:00+00:00,32.4,32.74,32.16,32.66,165163.0,1.0
2025-12-19 16:00:00+00:00,32.65,32.97,32.64,32.91,177623.0,1.0
2025-12-19 20:00:00+00:00,32.91,33.01,32.73,32.98,1937465.0,1.0
2025-12-20 00:00:00+00:00,32.98,32.98,32.98,32.98,0.0,0.0
2025-12-22 12:00:00+00:00,32.84,33.05,32.53,32.69,164325.0,1.0
2025-12-22 16:00:00+00:00,32.69,33.01,32.62,32.91,599909.0,1.0
2025-12-22 20:00:00+00:00,32.92,33.0,32.75,32.91,612491.0,1.0
2025-12-23 00:00:00+00:00,32.91,32.91,32.91,32.91,0.0,0.0
2025-12-23 08:00:00+00:00,32.81,32.94,32.81,32.91,1003.0,0.0
2025-12-23 12:00:00+00:00,32.91,33.35,32.37,32.85,329097.0,1.0
2025-12-23 16:00:00+00:00,32.84,32.97,32.64,32.77,387460.0,1.0
2025-12-23 20:00:00+00:00,32.77,32.91,32.73,32.84,495411.0,1.0
2025-12-24 00:00:00+00:00,32.84,32.84,32.84,32.84,0.0,0.0
2025-12-24 12:00:00+00:00,32.84,33.18,32.6,33.14,51846.0,1.0
2025-12-24 16:00:00+00:00,33.15,33.19,32.91,33.01,171590.0,1.0
2025-12-24 20:00:00+00:00,33.01,33.01,33.01,33.01,0.0,1.0
2025-12-26 12:00:00+00:00,32.93,33.07,32.66,33.01,75165.0,1.0
2025-12-26 16:00:00+00:00,33.01,33.08,32.83,32.96,94388.0,1.0
2025-12-26 20:00:00+00:00,32.96,33.14,32.85,32.98,274578.0,1.0
2025-12-27 00:00:00+00:00,32.98,32.98,32.98,32.98,0.0,0.0
2025-12-29 12:00:00+00:00,32.77,33.27,32.77,32.95,171770.0,1.0
2025-12-29 16:00:00+00:00,32.94,32.98,32.72,32.83,164963.0,1.0
2025-12-29 20:00:00+00:00,32.84,32.96,32.81,32.94,349376.0,1.0
2025-12-30 00:00:00+00:00,32.94,32.94,32.94,32.94,0.0,0.0
2025-12-30 12:00:00+00:00,32.86,33.23,32.82,32.95,126585.0,1.0
2025-12-30 16:00:00+00:00,32.95,33.08,32.81,32.92,322008.0,1.0
2025-12-30 20:00:00+00:00,32.93,33.14,32.92,32.98,566495.0,1.0
2025-12-31 00:00:00+00:00,32.98,32.98,32.98,32.98,0.0,0.0
2025-12-31 12:00:00+00:00,32.99,33.26,32.86,32.91,91430.0,1.0
2025-12-31 16:00:00+00:00,32.91,33.12,32.88,32.99,147200.0,1.0
2025-12-31 20:00:00+00:00,32.98,32.98,32.73,32.75,475433.0,1.0
2026-01-01 00:00:00+00:00,32.75,32.75,32.75,32.75,0.0,0.0
2026-01-02 08:00:00+00:00,33.14,33.14,33.14,33.14,105.0,0.0
2026-01-02 12:00:00+00:00,33.14,33.14,31.71,31.71,223343.0,1.0
2026-01-02 16:00:00+00:00,31.7,31.97,31.16,31.56,296002.0,1.0
2026-01-02 20:00:00+00:00,31.56,31.71,31.26,31.55,474144.0,1.0
2026-01-03 00:00:00+00:00,31.55,31.55,31.55,31.55,0.0,0.0
2026-01-05 12:00:00+00:00,31.3,31.53,31.13,31.43,157080.0,1.0
2026-01-05 16:00:00+00:00,31.45,31.84,31.33,31.8,906675.0,1.0
2026-01-05 20:00:00+00:00,31.81,31.84,31.71,31.78,561328.0,1.0
2026-01-06 00:00:00+00:00,31.78,31.78,31.78,31.78,0.0,0.0
2026-01-06 12:00:00+00:00,31.77,32.41,31.6,31.94,210014.0,1.0
2026-01-06 16:00:00+00:00,31.91,32.33,31.71,32.25,335408.0,1.0
2026-01-06 20:00:00+00:00,32.25,32.59,32.2,32.53,306667.0,1.0
2026-01-07 00:00:00+00:00,32.53,32.53,32.53,32.53,0.0,0.0
2026-01-07 12:00:00+00:00,32.58,32.99,32.41,32.98,130172.0,1.0
2026-01-07 16:00:00+00:00,33.02,33.52,32.89,33.29,217113.0,1.0
2026-01-07 20:00:00+00:00,33.28,33.72,33.19,33.68,642598.0,1.0
2026-01-08 00:00:00+00:00,33.68,33.68,33.68,33.68,0.0,0.0
2026-01-08 12:00:00+00:00,33.61,33.61,33.12,33.23,95280.0,1.0
2026-01-08 16:00:00+00:00,33.25,33.3,32.91,32.93,103149.0,1.0
2026-01-08 20:00:00+00:00,32.91,33.4,32.86,33.36,475825.0,1.0
2026-01-09 00:00:00+00:00,33.36,33.36,33.36,33.36,0.0,0.0
2026-01-09 12:00:00+00:00,33.5,34.0,33.08,33.54,214380.0,1.0
2026-01-09 16:00:00+00:00,33.54,34.24,33.47,34.16,258260.0,1.0
2026-01-09 20:00:00+00:00,34.16,34.56,31.0,34.0,994938.0,1.0
2026-01-10 00:00:00+00:00,34.0,34.0,34.0,34.0,0.0,0.0
2026-01-12 12:00:00+00:00,34.7,34.7,32.76,33.26,294208.0,1.0
2026-01-12 16:00:00+00:00,33.2,33.81,30.78,32.63,1422208.0,1.0
2026-01-12 20:00:00+00:00,32.64,32.72,31.49,31.59,1355857.0,1.0
2026-01-13 00:00:00+00:00,31.59,31.59,31.59,31.59,0.0,0.0
2026-01-13 12:00:00+00:00,32.26,32.27,30.76,30.92,470653.0,1.0
2026-01-13 16:00:00+00:00,30.92,31.0,30.03,30.47,1111739.0,1.0
2026-01-13 20:00:00+00:00,30.47,30.75,30.37,30.58,1357139.0,1.0
2026-01-14 00:00:00+00:00,30.55,30.55,30.55,30.55,474.0,0.0
