date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,51.94,52.35,51.75,51.83,300962.0,51.994,2361,False
2018-05-25 00:00:00+00:00,52.08,52.8,50.55,50.8,1729090.0,51.559,12281,False
2018-06-01 00:00:00+00:00,50.66,51.93,49.69,50.19,1625838.0,50.658,11785,False
2018-06-08 00:00:00+00:00,50.19,54.77,48.61,54.41,2970551.0,52.376,20840,False
2018-06-15 00:00:00+00:00,54.45,54.64,51.64,52.16,1923306.0,52.566,13820,False
2018-06-22 00:00:00+00:00,52.51,54.37,49.28,52.54,4301663.0,51.193,27714,False
2018-06-29 00:00:00+00:00,52.07,54.41,50.81,52.12,1924369.0,52.57,14304,False
2018-07-06 00:00:00+00:00,51.73,54.4,51.15,53.15,885024.0,52.863,7211,False
2018-07-13 00:00:00+00:00,53.29,54.08,51.5,52.21,1463366.0,52.784,10273,False
2018-07-20 00:00:00+00:00,52.2,53.3,50.52,52.13,1430572.0,51.896,10161,False
2018-07-27 00:00:00+00:00,52.3,53.03,49.42,51.11,2201263.0,51.118,15425,False
2018-08-03 00:00:00+00:00,51.13,62.19,47.83,59.22,5632216.0,53.814,37956,False
2018-08-10 00:00:00+00:00,58.86,61.81,58.35,60.04,2552675.0,60.105,18107,False
2018-08-17 00:00:00+00:00,60.28,64.91,59.26,63.21,1984937.0,62.154,15048,False
2018-08-24 00:00:00+00:00,63.41,66.57,62.78,65.97,1229271.0,64.301,9833,False
2018-08-31 00:00:00+00:00,67.25,67.62,65.66,66.95,1339411.0,66.604,9723,False
2018-09-07 00:00:00+00:00,65.17,70.74,63.79,69.71,1684639.0,67.294,12647,False
2018-09-14 00:00:00+00:00,70.21,70.37,64.62,66.36,1734460.0,66.696,12615,False
2018-09-21 00:00:00+00:00,67.55,67.62,65.01,66.35,1036702.0,66.426,7984,False
2018-09-28 00:00:00+00:00,66.25,69.91,65.67,68.27,1209495.0,68.251,9724,False
2018-10-05 00:00:00+00:00,68.7,69.44,64.64,68.86,1786235.0,67.058,13818,False
2018-10-12 00:00:00+00:00,68.62,72.26,67.07,69.49,2317929.0,69.484,18361,False
2018-10-19 00:00:00+00:00,69.45,75.58,68.75,70.79,3144911.0,72.495,22656,False
2018-10-26 00:00:00+00:00,68.41,71.12,64.88,67.19,3027041.0,67.814,22451,False
