date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 09:00:00+00:00,127.0,127.1,127.0,127.1,600.0,127.05,2,False
2025-11-17 10:00:00+00:00,127.1,127.1,127.1,127.1,682.0,127.1,1,False
2025-11-17 11:00:00+00:00,127.1,127.1,127.1,127.1,0.0,127.1,0,False
2025-11-17 12:00:00+00:00,126.96,127.1,126.9,127.1,1140.0,127.039,8,False
2025-11-17 13:00:00+00:00,127.0,127.0,126.02,126.99,599.0,126.678,4,False
2025-11-17 14:00:00+00:00,125.75,129.4,125.52,127.8,138245.0,127.759,612,False
2025-11-17 15:00:00+00:00,127.8,128.25,124.2,125.29,134450.0,126.266,848,True
2025-11-17 16:00:00+00:00,125.55,126.31,123.71,126.19,210453.0,124.697,563,True
2025-11-17 17:00:00+00:00,126.02,128.79,126.01,127.0,133965.0,127.244,691,True
2025-11-17 18:00:00+00:00,126.92,127.09,125.49,125.5,159560.0,126.197,835,True
2025-11-17 19:00:00+00:00,125.5,126.1,124.65,124.84,250699.0,125.42,1377,True
2025-11-17 20:00:00+00:00,124.71,126.26,124.05,124.19,356266.0,124.923,2230,True
2025-11-17 21:00:00+00:00,124.22,126.68,124.18,124.23,80040.0,124.236,15,False
2025-11-17 22:00:00+00:00,124.23,124.23,124.23,124.23,0.0,124.23,0,False
2025-11-17 23:00:00+00:00,124.23,124.23,124.23,124.23,0.0,124.23,0,False
2025-11-18 00:00:00+00:00,124.23,124.23,124.23,124.23,0.0,124.23,0,False
2025-11-18 12:00:00+00:00,124.14,124.14,124.14,124.14,100.0,124.14,1,False
2025-11-18 13:00:00+00:00,123.04,123.53,123.04,123.53,338.0,123.33,3,False
2025-11-18 14:00:00+00:00,123.5,126.83,123.5,124.51,405543.0,125.077,1080,False
2025-11-18 15:00:00+00:00,125.26,127.21,124.51,126.17,152669.0,126.175,1020,True
2025-11-18 16:00:00+00:00,126.2,127.46,125.67,126.46,205734.0,126.628,1358,True
2025-11-18 17:00:00+00:00,126.34,128.58,125.32,127.98,233412.0,126.639,1216,True
2025-11-18 18:00:00+00:00,127.98,128.74,126.82,126.88,134497.0,127.829,897,True
2025-11-18 19:00:00+00:00,126.91,127.92,126.0,126.57,214367.0,126.995,1240,True
2025-11-18 20:00:00+00:00,126.56,127.34,126.27,126.99,421684.0,126.891,2717,True
2025-11-18 21:00:00+00:00,127.0,127.0,126.91,126.92,150983.0,126.92,17,False
2025-11-18 22:00:00+00:00,127.74,127.75,127.06,127.06,881.0,127.395,2,False
2025-11-18 23:00:00+00:00,127.1,127.1,127.0,127.0,360.0,127.047,3,False
2025-11-19 00:00:00+00:00,127.57,127.57,126.5,127.5,1718.0,127.188,7,False
2025-11-19 09:00:00+00:00,128.65,128.7,126.38,126.38,955.0,127.163,6,False
2025-11-19 10:00:00+00:00,123.8,123.8,123.0,123.0,208.0,123.404,2,False
2025-11-19 11:00:00+00:00,120.0,120.0,113.96,116.54,14505.0,117.834,93,False
2025-11-19 12:00:00+00:00,117.2,123.0,116.8,120.0,24380.0,120.669,142,False
2025-11-19 13:00:00+00:00,117.99,128.71,113.99,114.5,74897.0,117.697,302,False
2025-11-19 14:00:00+00:00,114.0,115.23,99.31,108.25,1330900.0,107.408,5556,False
2025-11-19 15:00:00+00:00,108.26,111.43,102.57,105.26,1547303.0,108.18,7906,True
2025-11-19 16:00:00+00:00,105.22,109.26,103.42,104.75,635152.0,106.55,3331,True
2025-11-19 17:00:00+00:00,104.75,106.0,102.6,103.2,350695.0,104.149,1940,True
2025-11-19 18:00:00+00:00,103.21,104.41,103.0,103.91,237635.0,103.864,1318,True
2025-11-19 19:00:00+00:00,104.03,104.15,100.0,103.0,433382.0,101.671,2714,True
2025-11-19 20:00:00+00:00,103.0,104.6,99.97,101.76,763058.0,102.084,4482,True
2025-11-19 21:00:00+00:00,101.7,103.01,101.5,102.0,156148.0,101.718,36,False
2025-11-19 22:00:00+00:00,102.1,103.0,102.06,102.5,3782.0,102.421,14,False
2025-11-19 23:00:00+00:00,102.9,103.0,102.9,102.98,345.0,102.952,3,False
2025-11-20 00:00:00+00:00,102.98,103.72,102.33,103.3,9266.0,102.844,37,False
2025-11-20 09:00:00+00:00,104.97,104.97,103.99,104.0,643.0,104.151,4,False
2025-11-20 10:00:00+00:00,103.85,103.85,102.15,103.0,3418.0,102.916,13,False
2025-11-20 11:00:00+00:00,103.0,103.0,103.0,103.0,0.0,103.0,0,False
2025-11-20 12:00:00+00:00,103.0,103.0,103.0,103.0,0.0,103.0,0,False
2025-11-20 13:00:00+00:00,102.79,104.87,102.01,103.99,3568.0,102.958,20,False
2025-11-20 14:00:00+00:00,103.99,104.0,100.52,101.15,314057.0,102.291,1608,False
2025-11-20 15:00:00+00:00,100.93,102.4,99.56,100.59,288865.0,100.992,1738,True
2025-11-20 16:00:00+00:00,100.59,100.59,97.77,98.0,194320.0,99.269,1360,True
2025-11-20 17:00:00+00:00,97.9,98.41,96.88,97.37,174620.0,97.51,1087,True
2025-11-20 18:00:00+00:00,97.25,99.42,97.18,98.12,137102.0,98.523,726,True
2025-11-20 19:00:00+00:00,97.99,99.22,97.69,99.21,94416.0,98.65,550,True
2025-11-20 20:00:00+00:00,99.18,99.88,98.15,99.48,461841.0,99.043,3044,True
2025-11-20 21:00:00+00:00,99.47,99.47,97.75,97.76,154031.0,99.465,8,False
2025-11-20 22:00:00+00:00,99.01,99.47,99.0,99.0,846.0,99.117,3,False
2025-11-20 23:00:00+00:00,99.0,99.0,99.0,99.0,0.0,99.0,0,False
2025-11-21 00:00:00+00:00,99.05,99.11,99.05,99.11,300.0,99.073,3,False
2025-11-21 12:00:00+00:00,99.41,99.47,99.17,99.47,1619.0,99.354,5,False
2025-11-21 13:00:00+00:00,99.11,100.0,99.06,100.0,2019.0,99.799,10,False
2025-11-21 14:00:00+00:00,99.9,100.0,95.73,95.73,197821.0,97.635,1007,False
2025-11-21 15:00:00+00:00,95.89,96.08,93.5,94.3,327354.0,94.453,2006,True
2025-11-21 16:00:00+00:00,94.3,96.67,94.15,96.42,294688.0,95.203,1682,True
2025-11-21 17:00:00+00:00,96.35,96.67,95.2,95.5,575145.0,95.776,3228,True
2025-11-21 18:00:00+00:00,95.4,97.37,94.75,96.59,234075.0,95.66,1516,True
2025-11-21 19:00:00+00:00,96.65,97.74,95.63,95.86,156558.0,96.822,1036,True
2025-11-21 20:00:00+00:00,95.81,95.91,94.8,95.47,333052.0,95.467,2399,True
2025-11-21 21:00:00+00:00,95.51,95.56,95.02,95.41,139349.0,95.509,17,False
2025-11-21 22:00:00+00:00,95.7,95.7,95.7,95.7,163.0,95.7,1,False
2025-11-21 23:00:00+00:00,95.75,95.75,95.7,95.7,750.0,95.733,2,False
2025-11-22 00:00:00+00:00,95.7,95.7,95.7,95.7,0.0,95.7,0,False
2025-11-24 09:00:00+00:00,96.38,98.24,96.3,96.3,661.0,96.702,5,False
