date,open,high,low,close,volume,is_rth
2025-11-18 12:00:00+00:00,35.09,35.09,35.09,35.09,100.0,1.0
2025-11-18 16:00:00+00:00,33.6,33.6,33.59,33.59,801.0,1.0
2025-11-18 20:00:00+00:00,33.41,33.41,33.41,33.41,100.0,1.0
2025-11-19 00:00:00+00:00,33.41,33.41,33.41,33.41,0.0,0.0
2025-11-21 12:00:00+00:00,33.6,33.6,33.6,33.6,100.0,1.0
2025-11-21 16:00:00+00:00,33.6,33.6,33.6,33.6,0.0,1.0
2025-11-21 20:00:00+00:00,33.6,33.6,33.6,33.6,0.0,1.0
2025-11-22 00:00:00+00:00,33.6,33.6,33.6,33.6,0.0,0.0
2025-11-24 12:00:00+00:00,33.43,33.43,33.43,33.43,100.0,1.0
2025-11-24 16:00:00+00:00,33.43,33.43,33.43,33.43,0.0,1.0
2025-11-24 20:00:00+00:00,33.43,33.43,33.43,33.43,0.0,1.0
2025-11-25 00:00:00+00:00,33.43,33.43,33.43,33.43,0.0,0.0
2025-11-25 12:00:00+00:00,35.64,35.64,35.64,35.64,100.0,1.0
2025-11-25 16:00:00+00:00,35.64,35.64,35.64,35.64,0.0,1.0
2025-11-25 20:00:00+00:00,36.27,36.28,36.11,36.11,403.0,1.0
2025-11-26 00:00:00+00:00,36.11,36.11,36.11,36.11,0.0,0.0
2025-11-26 20:00:00+00:00,36.54,36.54,35.86,36.45,3754.0,1.0
2025-11-27 00:00:00+00:00,36.45,36.45,36.45,36.45,0.0,0.0
2025-11-28 12:00:00+00:00,36.55,36.55,35.95,36.0,440.0,1.0
2025-11-28 16:00:00+00:00,36.0,36.0,36.0,36.0,0.0,1.0
2025-11-28 20:00:00+00:00,36.0,36.0,36.0,36.0,0.0,1.0
2025-12-01 20:00:00+00:00,36.31,36.31,36.31,36.31,148.0,0.0
2025-12-02 00:00:00+00:00,36.31,36.31,36.31,36.31,0.0,0.0
2025-12-03 12:00:00+00:00,36.73,36.73,36.73,36.73,100.0,1.0
2025-12-03 16:00:00+00:00,36.73,36.73,36.73,36.73,0.0,1.0
2025-12-03 20:00:00+00:00,36.73,36.73,36.73,36.73,0.0,1.0
2025-12-04 00:00:00+00:00,36.73,36.73,36.73,36.73,0.0,0.0
2025-12-04 12:00:00+00:00,39.0,39.0,38.55,38.55,300.0,1.0
2025-12-04 16:00:00+00:00,38.55,38.55,38.55,38.55,0.0,1.0
2025-12-04 20:00:00+00:00,34.93,36.73,34.58,36.73,317.0,1.0
2025-12-05 00:00:00+00:00,36.73,36.73,36.73,36.73,0.0,0.0
