date,open,high,low,close,volume,average,barCount,is_rth
2025-11-17 14:00:00+00:00,54.12,54.71,53.56,54.1,2144.0,54.141,8,False
2025-11-17 15:00:00+00:00,53.57,54.55,53.57,53.92,4942.0,54.089,20,True
2025-11-17 16:00:00+00:00,53.85,53.89,53.77,53.79,700.0,53.816,6,True
2025-11-17 17:00:00+00:00,53.91,54.02,53.86,53.87,1200.0,53.915,10,True
2025-11-17 18:00:00+00:00,53.61,53.67,53.42,53.42,1570.0,53.562,10,True
2025-11-17 19:00:00+00:00,53.26,53.32,52.97,52.97,2575.0,53.166,19,True
2025-11-17 20:00:00+00:00,52.9,52.9,52.49,52.72,16147.0,52.648,118,True
2025-11-17 21:00:00+00:00,52.66,52.66,52.66,52.66,24145.0,52.66,1,False
2025-11-17 22:00:00+00:00,52.66,52.66,52.66,52.66,0.0,52.66,0,False
2025-11-17 23:00:00+00:00,52.66,52.66,52.66,52.66,0.0,52.66,0,False
2025-11-18 00:00:00+00:00,52.66,52.66,52.66,52.66,0.0,52.66,0,False
2025-11-18 14:00:00+00:00,52.74,52.88,52.0,52.02,4719.0,52.345,34,False
2025-11-18 15:00:00+00:00,52.24,52.56,52.08,52.2,2902.0,52.23,23,True
2025-11-18 16:00:00+00:00,52.02,52.61,52.02,52.53,1800.0,52.453,18,True
2025-11-18 17:00:00+00:00,52.57,52.64,52.43,52.64,4420.0,52.541,34,True
2025-11-18 18:00:00+00:00,52.69,52.73,52.61,52.66,2496.0,52.66,24,True
2025-11-18 19:00:00+00:00,52.71,52.77,52.61,52.77,2768.0,52.685,25,True
2025-11-18 20:00:00+00:00,52.78,52.83,52.57,52.63,14969.0,52.699,132,True
2025-11-18 21:00:00+00:00,52.67,52.67,52.67,52.67,30524.0,52.67,2,False
2025-11-18 22:00:00+00:00,52.67,52.67,52.67,52.67,0.0,52.67,0,False
2025-11-18 23:00:00+00:00,52.67,52.67,52.67,52.67,0.0,52.67,0,False
2025-11-19 00:00:00+00:00,52.67,52.67,52.67,52.67,0.0,52.67,0,False
2025-11-19 14:00:00+00:00,52.53,52.9,52.53,52.9,1111.0,52.642,6,False
2025-11-19 15:00:00+00:00,52.74,52.89,52.62,52.65,5956.0,52.745,28,True
2025-11-19 16:00:00+00:00,52.75,52.91,52.68,52.91,3421.0,52.772,24,True
2025-11-19 17:00:00+00:00,52.85,53.31,52.85,53.31,22089.0,53.082,168,True
2025-11-19 18:00:00+00:00,53.39,53.58,53.38,53.39,2604.0,53.483,26,True
