date,open,high,low,close,volume,average,barCount,is_rth
2018-05-18 00:00:00+00:00,12.35,12.7,12.2,12.5,160771.0,12.503,990,False
2018-05-25 00:00:00+00:00,12.5,12.65,12.1,12.15,737088.0,12.305,4500,False
2018-06-01 00:00:00+00:00,12.05,12.48,11.9,12.0,758059.0,12.144,5077,False
2018-06-08 00:00:00+00:00,11.9,12.35,11.55,11.95,1340243.0,11.971,8022,False
2018-06-15 00:00:00+00:00,12.0,12.2,11.62,12.15,852489.0,11.941,5848,False
2018-06-22 00:00:00+00:00,12.1,15.3,11.9,15.2,5567874.0,13.626,22000,False
2018-06-29 00:00:00+00:00,15.35,15.55,14.32,14.8,4238694.0,15.022,20686,False
2018-07-06 00:00:00+00:00,14.9,14.9,14.35,14.85,1563215.0,14.681,6526,False
2018-07-13 00:00:00+00:00,15.65,16.05,15.1,15.85,3725503.0,15.588,14051,False
2018-07-20 00:00:00+00:00,15.85,16.0,15.26,15.8,2132245.0,15.58,8956,False
2018-07-27 00:00:00+00:00,15.8,17.7,14.95,16.85,7786661.0,16.575,36350,False
2018-08-03 00:00:00+00:00,17.05,17.05,16.1,16.55,3043819.0,16.522,18933,False
2018-08-10 00:00:00+00:00,16.55,16.65,15.95,16.2,3004714.0,16.264,16751,False
2018-08-17 00:00:00+00:00,16.15,16.35,15.6,16.0,2535947.0,15.941,13352,False
2018-08-24 00:00:00+00:00,16.1,16.75,15.82,16.65,2471643.0,16.184,12836,False
2018-08-31 00:00:00+00:00,16.75,17.45,16.6,17.45,2415474.0,17.04,12853,False
2018-09-07 00:00:00+00:00,17.35,17.5,17.02,17.25,2281893.0,17.282,11002,False
2018-09-14 00:00:00+00:00,17.25,17.35,16.9,17.2,1738799.0,17.133,11353,False
2018-09-21 00:00:00+00:00,17.15,17.25,16.5,17.15,1180053.0,17.007,6998,False
2018-09-28 00:00:00+00:00,17.2,17.35,16.7,17.15,1922643.0,17.12,10436,False
2018-10-05 00:00:00+00:00,17.65,18.19,17.54,17.82,4269684.0,17.9,21569,False
2018-10-12 00:00:00+00:00,17.76,17.97,16.52,16.59,3241241.0,17.307,14997,False
2018-10-19 00:00:00+00:00,16.6,16.75,15.49,15.52,4155970.0,16.3,18591,False
2018-10-26 00:00:00+00:00,15.45,15.97,14.2,14.66,3264150.0,14.908,18039,False
2018-11-02 00:00:00+00:00,14.86,15.39,13.98,15.38,2963444.0,14.655,15707,False
2018-11-09 00:00:00+00:00,15.39,17.12,15.21,16.89,4448174.0,16.266,22547,False
2018-11-16 00:00:00+00:00,16.7,16.97,14.85,15.12,3836518.0,15.847,24349,False
2018-11-23 00:00:00+00:00,14.96,15.17,13.21,13.29,2991390.0,13.911,18372,False
2018-11-30 00:00:00+00:00,13.48,13.94,13.28,13.78,2018862.0,13.611,12074,False
2018-12-07 00:00:00+00:00,14.01,14.13,12.16,12.47,2120898.0,13.368,13890,False
2018-12-14 00:00:00+00:00,12.5,13.32,11.31,11.39,2726117.0,11.961,17143,False
2018-12-21 00:00:00+00:00,11.06,11.33,8.61,8.65,3906673.0,9.993,23233,False
2018-12-28 00:00:00+00:00,8.64,9.52,8.21,9.39,3532971.0,8.846,16258,False
2019-01-04 00:00:00+00:00,9.43,10.12,8.96,9.95,2259974.0,9.66,17276,False
2019-01-11 00:00:00+00:00,9.9,11.24,9.72,9.99,4122037.0,10.363,24323,False
2019-01-18 00:00:00+00:00,9.84,10.81,9.8,10.58,3455280.0,10.243,17635,False
2019-01-25 00:00:00+00:00,10.45,10.63,9.93,10.32,2777801.0,10.263,17627,False
2019-02-01 00:00:00+00:00,10.3,10.46,9.85,9.97,2335602.0,10.139,15638,False
2019-02-08 00:00:00+00:00,9.97,10.24,9.56,9.88,3101104.0,9.933,15921,False
2019-02-15 00:00:00+00:00,9.95,10.46,9.8,10.29,2454079.0,10.201,14182,False
2019-02-22 00:00:00+00:00,10.28,10.62,10.24,10.28,1346918.0,10.389,8805,False
2019-03-01 00:00:00+00:00,10.37,10.49,10.07,10.4,1886303.0,10.287,12563,False
2019-03-08 00:00:00+00:00,10.47,10.86,9.79,10.03,2634363.0,10.362,15572,False
2019-03-15 00:00:00+00:00,10.05,11.71,10.03,11.3,3531525.0,10.802,16475,False
2019-03-22 00:00:00+00:00,11.36,12.02,10.92,11.36,3846813.0,11.407,24391,False
2019-03-29 00:00:00+00:00,11.36,11.37,10.64,11.09,2286168.0,10.947,14547,False
2019-04-05 00:00:00+00:00,11.18,12.3,11.06,11.81,1792085.0,11.699,12967,False
2019-04-12 00:00:00+00:00,11.77,12.16,11.45,12.11,972306.0,11.854,6929,False
2019-04-18 00:00:00+00:00,12.15,12.41,12.1,12.41,1026667.0,12.262,6655,False
2019-04-26 00:00:00+00:00,12.4,13.28,12.34,13.21,1743424.0,12.97,11236,False
2019-05-03 00:00:00+00:00,13.26,14.66,13.17,14.45,3111240.0,13.842,17776,False
2019-05-10 00:00:00+00:00,14.11,14.4,13.61,14.36,3093536.0,14.055,17758,False
2019-05-17 00:00:00+00:00,14.0,14.51,13.54,14.22,2398254.0,14.01,15144,False
2019-05-24 00:00:00+00:00,14.07,14.45,13.8,13.96,1626517.0,14.125,10557,False
2019-05-31 00:00:00+00:00,13.99,14.16,13.4,13.58,1043308.0,13.809,7190,False
2019-06-07 00:00:00+00:00,13.55,14.68,13.29,14.22,2249697.0,14.09,15163,False
2019-06-14 00:00:00+00:00,14.3,14.87,14.18,14.5,1835482.0,14.466,13957,False
2019-06-21 00:00:00+00:00,14.51,14.86,14.27,14.51,1148198.0,14.596,8828,False
2019-06-28 00:00:00+00:00,14.47,15.12,14.18,15.04,1701487.0,14.672,12861,False
2019-07-05 00:00:00+00:00,15.22,15.31,14.71,15.25,1153173.0,15.03,7946,False
2019-07-12 00:00:00+00:00,15.1,15.5,15.0,15.28,1582933.0,15.244,8903,False
2019-07-19 00:00:00+00:00,15.33,15.36,14.38,14.92,1309113.0,15.0,8215,False
2019-07-26 00:00:00+00:00,14.95,15.65,14.82,15.58,1321649.0,15.296,8292,False
2019-08-02 00:00:00+00:00,15.58,16.4,14.9,15.46,2198269.0,15.831,13118,False
2019-08-09 00:00:00+00:00,15.08,15.2,13.37,14.58,2416315.0,14.138,14228,False
2019-08-16 00:00:00+00:00,14.46,14.59,13.8,14.44,1402552.0,14.187,7920,False
2019-08-23 00:00:00+00:00,14.74,14.74,13.57,13.66,963475.0,14.213,6563,False
2019-08-30 00:00:00+00:00,13.82,14.1,13.23,13.95,1245816.0,13.641,8218,False
2019-09-06 00:00:00+00:00,13.8,14.94,13.67,14.59,905201.0,14.358,6016,False
2019-09-13 00:00:00+00:00,14.62,16.2,14.55,16.0,2776568.0,15.571,16104,False
2019-09-20 00:00:00+00:00,16.0,16.44,15.75,15.91,1882347.0,16.021,12098,False
2019-09-27 00:00:00+00:00,15.9,16.89,15.3,15.92,1946432.0,16.198,11815,False
2019-10-04 00:00:00+00:00,15.87,15.96,15.01,15.57,2661301.0,15.394,13596,False
2019-10-11 00:00:00+00:00,15.49,16.23,15.14,15.8,1627681.0,15.57,9261,False
2019-10-18 00:00:00+00:00,15.68,15.9,15.42,15.74,1028343.0,15.698,7084,False
2019-10-25 00:00:00+00:00,15.82,16.21,15.48,15.86,881192.0,15.937,5197,False
2019-11-01 00:00:00+00:00,15.94,16.35,15.64,16.27,1485040.0,16.101,8956,False
2019-11-08 00:00:00+00:00,16.43,16.95,15.43,16.41,2292864.0,16.536,11889,False
2019-11-15 00:00:00+00:00,16.45,17.43,16.36,17.43,3933277.0,16.719,16166,False
2019-11-22 00:00:00+00:00,17.37,17.62,16.65,17.49,2214398.0,17.071,12270,False
2019-11-29 00:00:00+00:00,17.67,18.3,17.29,17.76,1386284.0,17.927,8038,False
2019-12-06 00:00:00+00:00,17.8,18.05,17.21,17.83,1336605.0,17.667,8341,False
2019-12-13 00:00:00+00:00,17.83,17.83,17.1,17.22,1285780.0,17.358,8120,False
