date,open,high,low,close,volume,average,barCount,is_rth
2018-06-22 00:00:00+00:00,15.75,20.28,15.75,18.8,2113996.0,17.77288,10672,False
2018-06-29 00:00:00+00:00,18.69,22.37,18.24,18.98,702822.0,19.37208,3865,False
2018-07-06 00:00:00+00:00,18.89,19.97,17.52,18.67,112231.0,18.21009,615,False
2018-07-13 00:00:00+00:00,18.04,19.49,18.03,18.5,67820.0,18.44579,378,False
2018-07-20 00:00:00+00:00,18.55,21.0,17.5,20.85,156214.0,18.8448,780,False
2018-07-27 00:00:00+00:00,21.0,22.29,17.87,18.6,512297.0,20.44086,1148,False
2018-08-03 00:00:00+00:00,18.6,19.18,16.5,18.88,250409.0,18.20173,935,False
2018-08-10 00:00:00+00:00,18.99,20.69,17.63,20.51,343655.0,19.45445,1363,False
2018-08-17 00:00:00+00:00,19.71,26.45,19.19,23.05,283658.0,24.18818,979,False
2018-08-24 00:00:00+00:00,23.49,26.98,23.49,25.78,236314.0,25.40461,1492,False
2018-08-31 00:00:00+00:00,25.59,27.03,24.01,25.7,249581.0,26.06838,1214,False
2018-09-07 00:00:00+00:00,25.57,27.51,25.03,27.0,299262.0,26.34026,2021,False
2018-09-14 00:00:00+00:00,27.0,27.99,22.49,23.12,454689.0,25.46256,2616,False
2018-09-21 00:00:00+00:00,23.07,24.82,19.4,20.09,527184.0,22.39446,3222,False
2018-09-28 00:00:00+00:00,20.07,21.33,17.35,17.58,308740.0,19.03207,2158,False
2018-10-05 00:00:00+00:00,17.6,19.1,17.04,19.0,255769.0,17.93218,1870,False
2018-10-12 00:00:00+00:00,18.86,21.25,17.84,18.55,262778.0,19.71088,1513,False
2018-10-19 00:00:00+00:00,18.66,21.29,17.84,19.94,311504.0,19.9387,1530,False
2018-10-26 00:00:00+00:00,19.95,21.91,19.95,20.89,477852.0,21.13173,1839,False
2018-11-02 00:00:00+00:00,21.17,23.43,20.73,23.22,351588.0,21.82818,1344,False
2018-11-09 00:00:00+00:00,23.18,25.49,23.04,23.21,171393.0,24.23438,1203,False
2018-11-16 00:00:00+00:00,23.1,23.92,19.82,21.03,95189.0,21.03067,807,False
2018-11-23 00:00:00+00:00,20.96,21.42,19.38,21.34,96981.0,20.42406,752,False
2018-11-30 00:00:00+00:00,21.47,21.47,19.96,20.81,103507.0,20.73785,849,False
2018-12-07 00:00:00+00:00,21.12,21.34,19.5,20.56,69483.0,20.34744,610,False
2018-12-14 00:00:00+00:00,20.35,20.66,19.7,20.11,147339.0,20.23295,1176,False
2018-12-21 00:00:00+00:00,20.15,20.79,15.18,15.76,380795.0,17.78482,2717,False
2018-12-28 00:00:00+00:00,15.57,17.74,15.01,16.96,167963.0,16.52485,1171,False
2019-01-04 00:00:00+00:00,17.25,17.95,16.36,17.5,106916.0,17.10401,659,False
2019-01-11 00:00:00+00:00,17.56,18.88,17.27,17.95,125358.0,18.2475,842,False
2019-01-18 00:00:00+00:00,17.97,18.17,16.57,17.0,66026.0,17.16498,519,False
2019-01-25 00:00:00+00:00,16.9,17.38,14.6,15.0,326910.0,15.69313,1748,False
2019-02-01 00:00:00+00:00,14.84,15.28,13.31,13.85,155073.0,14.55264,779,False
2019-02-08 00:00:00+00:00,13.69,15.29,13.67,14.9,126534.0,14.80106,740,False
2019-02-15 00:00:00+00:00,14.9,15.0,9.25,9.73,3227534.0,9.99153,16478,False
2019-02-22 00:00:00+00:00,9.78,10.05,9.49,9.85,1164819.0,9.83968,4572,False
2019-03-01 00:00:00+00:00,10.0,10.8,9.71,10.19,2320019.0,10.13796,13497,False
2019-03-08 00:00:00+00:00,10.3,10.69,8.67,8.74,973804.0,9.92698,6296,False
2019-03-15 00:00:00+00:00,8.75,9.92,8.75,9.73,1088122.0,9.4957,6313,False
2019-03-22 00:00:00+00:00,9.77,10.72,9.74,10.0,913217.0,10.28872,5040,False
2019-03-29 00:00:00+00:00,9.99,10.74,9.55,10.04,756134.0,10.08761,3381,False
2019-04-05 00:00:00+00:00,10.14,10.2,9.44,9.7,559890.0,9.7934,3254,False
2019-04-12 00:00:00+00:00,9.75,10.46,9.33,9.76,400014.0,9.90168,2235,False
2019-04-18 00:00:00+00:00,9.73,9.86,9.06,9.6,247920.0,9.41714,1638,False
2019-04-26 00:00:00+00:00,9.55,10.05,9.05,9.95,340920.0,9.44729,2135,False
2019-05-03 00:00:00+00:00,10.0,10.97,9.88,10.63,323160.0,10.39131,2186,False
2019-05-10 00:00:00+00:00,10.54,12.98,10.16,12.5,540857.0,11.44565,3375,False
2019-05-17 00:00:00+00:00,12.37,12.79,11.59,12.4,976006.0,12.43263,6417,False
2019-05-24 00:00:00+00:00,12.36,12.78,11.1,11.37,941153.0,12.26576,4619,False
2019-05-31 00:00:00+00:00,11.48,11.99,10.63,10.97,546998.0,11.38139,3002,False
2019-06-07 00:00:00+00:00,11.05,11.93,6.85,8.51,2411699.0,8.70182,9159,False
2019-06-14 00:00:00+00:00,8.37,10.12,7.69,9.61,889566.0,8.85366,5906,False
2019-06-21 00:00:00+00:00,9.66,11.21,9.66,11.11,493811.0,10.5296,3122,False
2019-06-28 00:00:00+00:00,11.12,11.51,10.54,11.44,620711.0,10.99614,3726,False
2019-07-05 00:00:00+00:00,11.5,12.47,11.37,12.16,322653.0,11.82327,2125,False
2019-07-12 00:00:00+00:00,12.18,12.94,11.43,11.93,593799.0,12.2293,3135,False
2019-07-19 00:00:00+00:00,11.94,12.65,11.54,12.28,262425.0,12.06689,1817,False
2019-07-26 00:00:00+00:00,12.27,12.95,11.64,11.99,592589.0,12.33838,3612,False
2019-08-02 00:00:00+00:00,11.99,12.35,10.52,10.75,559441.0,11.71805,3312,False
2019-08-09 00:00:00+00:00,10.59,11.68,8.66,10.75,705315.0,10.34129,4730,False
2019-08-16 00:00:00+00:00,10.65,11.9,10.5,11.59,572795.0,11.27312,2948,False
2019-08-23 00:00:00+00:00,11.82,12.51,10.6,10.81,655688.0,11.74859,3556,False
2019-08-30 00:00:00+00:00,11.01,11.75,10.22,11.59,258066.0,11.17775,1657,False
2019-09-06 00:00:00+00:00,11.45,11.92,10.22,10.81,584302.0,10.95274,3422,False
2019-09-13 00:00:00+00:00,10.81,12.29,8.81,10.42,2884235.0,10.49964,14023,False
