date,open,high,low,close,volume,average,barCount,is_rth
2016-05-31 00:00:00+00:00,60.52,63.04,59.91,62.16,9688066.0,61.28,75008,False
2016-06-30 00:00:00+00:00,62.09,65.83,58.83,62.04,27153046.0,62.851,202570,False
2016-07-29 00:00:00+00:00,62.15,64.4,61.45,64.04,15901926.0,62.962,118071,False
2016-08-31 00:00:00+00:00,64.0,65.16,59.47,61.46,25877807.0,61.813,180971,False
2016-09-30 00:00:00+00:00,61.64,62.98,58.57,59.43,21647269.0,59.811,146813,False
2016-10-31 00:00:00+00:00,59.07,60.27,55.39,57.57,24581286.0,58.143,164773,False
2016-11-30 00:00:00+00:00,58.63,62.92,55.01,58.18,31152630.0,60.11,223286,False
2016-12-30 00:00:00+00:00,58.4,60.64,56.71,57.73,19431023.0,58.606,139609,False
2017-01-31 00:00:00+00:00,58.02,59.36,55.0,56.7,30765333.0,56.736,187350,False
2017-02-28 00:00:00+00:00,56.7,63.9,56.21,63.52,26521762.0,60.126,183877,False
2017-03-31 00:00:00+00:00,63.78,64.8,61.85,62.44,21863605.0,63.071,158197,False
2017-04-28 00:00:00+00:00,62.47,63.85,61.53,63.24,15753892.0,62.627,111499,False
2017-05-31 00:00:00+00:00,63.45,65.68,61.02,63.52,21973917.0,63.099,156004,False
2017-06-30 00:00:00+00:00,63.74,65.5,62.35,64.84,16383789.0,63.793,112392,False
2017-07-31 00:00:00+00:00,65.14,65.44,61.87,62.03,20321916.0,63.657,133164,False
2017-08-31 00:00:00+00:00,62.11,62.39,52.53,56.57,40781234.0,56.08,264143,False
2017-09-29 00:00:00+00:00,56.67,60.63,55.89,59.81,24624668.0,58.454,159585,False
2017-10-31 00:00:00+00:00,58.0,62.23,54.91,61.07,40956702.0,58.697,240129,False
2017-11-30 00:00:00+00:00,61.37,68.98,60.79,67.01,34185615.0,65.477,213166,False
2017-12-29 00:00:00+00:00,67.04,67.35,64.65,65.83,18341605.0,65.882,124201,False
2018-01-31 00:00:00+00:00,66.26,68.47,59.6,60.81,47443952.0,63.014,263074,False
2018-02-28 00:00:00+00:00,60.55,60.94,54.28,56.06,34124682.0,57.868,194985,False
2018-03-29 00:00:00+00:00,55.49,58.87,49.6,50.31,35232399.0,54.384,234080,False
2018-04-30 00:00:00+00:00,50.1,51.14,48.25,50.34,35327235.0,49.678,198759,False
2018-05-31 00:00:00+00:00,50.23,50.99,43.7,43.81,50920771.0,46.982,318741,False
2018-06-29 00:00:00+00:00,43.94,45.62,41.64,43.77,45551350.0,44.107,270536,False
2018-07-31 00:00:00+00:00,43.66,48.31,42.91,48.11,32619928.0,45.661,208633,False
2018-08-31 00:00:00+00:00,47.54,48.95,37.7,39.92,73327839.0,40.066,391767,False
2018-09-28 00:00:00+00:00,39.82,39.92,37.18,37.74,45788151.0,38.457,268903,False
