date,open,high,low,close,volume,average,barCount,is_rth
2024-09-13 00:00:00+00:00,18.35,18.99,17.02,18.15,1731514.0,18.129,4970,False
2024-09-16 00:00:00+00:00,17.88,18.43,17.5,17.97,216019.0,18.014,899,False
2024-09-17 00:00:00+00:00,17.7,18.0,17.13,17.63,144471.0,17.636,696,False
2024-09-18 00:00:00+00:00,17.99,18.07,17.5,17.9,54558.0,17.874,239,False
2024-09-19 00:00:00+00:00,18.2,18.2,17.5,17.52,35260.0,17.823,236,False
2024-09-20 00:00:00+00:00,17.51,19.09,17.4,19.0,75387.0,18.102,387,False
2024-09-23 00:00:00+00:00,19.4,20.14,17.52,18.59,122714.0,19.092,713,False
2024-09-24 00:00:00+00:00,18.89,19.8,18.44,19.23,50242.0,19.076,253,False
2024-09-25 00:00:00+00:00,19.63,20.5,18.06,18.42,73302.0,18.826,337,False
2024-09-26 00:00:00+00:00,18.7,19.5,16.5,17.29,141462.0,17.295,664,False
2024-09-27 00:00:00+00:00,16.92,19.01,16.78,17.14,83338.0,17.184,329,False
2024-09-30 00:00:00+00:00,17.17,18.25,16.35,16.92,112402.0,16.979,439,False
2024-10-01 00:00:00+00:00,16.92,17.4,16.17,17.04,71023.0,16.816,540,False
2024-10-02 00:00:00+00:00,17.13,18.97,16.69,18.53,197366.0,17.497,864,False
2024-10-03 00:00:00+00:00,18.92,19.62,17.51,18.71,69906.0,18.558,466,False
2024-10-04 00:00:00+00:00,18.55,20.0,18.4,18.81,64786.0,19.09,347,False
2024-10-07 00:00:00+00:00,18.69,19.88,18.4,18.7,65185.0,18.96,478,False
2024-10-08 00:00:00+00:00,19.0,19.05,16.8,17.69,192450.0,18.116,1024,False
2024-10-09 00:00:00+00:00,17.9,18.39,16.2,17.1,115210.0,16.925,654,False
2024-10-10 00:00:00+00:00,17.01,17.5,16.51,17.05,82777.0,17.027,508,False
2024-10-11 00:00:00+00:00,17.56,18.5,16.91,17.43,148916.0,17.561,813,False
2024-10-14 00:00:00+00:00,17.41,19.05,17.05,18.76,58493.0,18.492,396,False
2024-10-15 00:00:00+00:00,18.84,19.91,18.6,19.74,58273.0,19.192,346,False
2024-10-16 00:00:00+00:00,19.49,20.73,18.87,19.49,107452.0,19.673,645,False
2024-10-17 00:00:00+00:00,19.54,21.81,19.14,21.46,58282.0,20.274,396,False
2024-10-18 00:00:00+00:00,21.44,22.45,20.5,21.34,91232.0,21.303,608,False
2024-10-21 00:00:00+00:00,21.8,23.5,21.15,23.23,125059.0,22.324,868,False
2024-10-22 00:00:00+00:00,23.49,26.11,22.49,25.68,196984.0,24.43,1238,False
2024-10-23 00:00:00+00:00,25.6,26.26,23.07,24.79,167609.0,24.595,856,False
2024-10-24 00:00:00+00:00,25.01,25.06,23.31,23.39,26971.0,24.272,203,False
2024-10-25 00:00:00+00:00,23.39,23.96,19.12,20.4,146575.0,20.38,990,False
2024-10-28 00:00:00+00:00,20.4,22.36,19.63,21.19,89226.0,20.792,706,False
2024-10-29 00:00:00+00:00,20.96,21.3,19.0,20.59,66679.0,20.144,513,False
2024-10-30 00:00:00+00:00,20.63,22.19,20.29,21.0,109071.0,21.41,702,False
2024-10-31 00:00:00+00:00,21.31,22.0,20.53,21.23,70463.0,21.423,536,False
2024-11-01 00:00:00+00:00,21.3,21.46,20.21,20.47,35259.0,20.851,278,False
2024-11-04 00:00:00+00:00,20.31,21.1,19.39,19.95,29193.0,20.493,212,False
2024-11-05 00:00:00+00:00,19.82,21.19,19.38,20.91,52902.0,20.577,351,False
2024-11-06 00:00:00+00:00,20.99,22.0,19.19,20.82,63032.0,20.706,407,False
2024-11-07 00:00:00+00:00,20.98,21.5,20.28,20.92,40265.0,20.852,228,False
2024-11-08 00:00:00+00:00,21.0,21.83,20.64,21.0,26146.0,21.021,182,False
